phi	shear	shortest_cycles_mod_sign	cycle_multiplicity	cycle_norm_squared	shortest_dual_characters_mod_sign	dual_multiplicity	dual_norm_squared	unique_dual_U1_reduction	cycle_search_bound	dual_search_bound	outside_lower_bound_min	classification
-1.0	-1.0	(1,2)	1	1.0572699180409213	(2,-1)	1	1.0572699180409213	YES	5	5	4.2829504900013724	UNIQUE_METRIC_LATTICE_CHARACTER
-1.0	-0.5	(0,1)	1	0.3853352832366127	(1,0)	1	0.3853352832366127	YES	3	3	2.0932648031238088	UNIQUE_METRIC_LATTICE_CHARACTER
-1.0	0.0	(0,1)	1	0.1353352832366127	(1,0)	1	0.1353352832366127	YES	3	3	2.1653645317857979	UNIQUE_METRIC_LATTICE_CHARACTER
-1.0	0.5	(0,1)	1	0.3853352832366127	(1,0)	1	0.3853352832366127	YES	3	3	2.0932648031238088	UNIQUE_METRIC_LATTICE_CHARACTER
-1.0	1.0	(1,-2)	1	1.0572699180409213	(2,1)	1	1.0572699180409213	YES	5	5	4.2829504900013724	UNIQUE_METRIC_LATTICE_CHARACTER
-0.5	-1.0	(1,1)	1	0.78871872823023104	(1,-1)	1	0.78871872823023104	YES	4	4	6.5364551394791697	UNIQUE_METRIC_LATTICE_CHARACTER
-0.5	-0.5	(0,1)	1	0.61787944117144233	(1,0)	1	0.61787944117144233	YES	3	3	5.3276841994647626	UNIQUE_METRIC_LATTICE_CHARACTER
-0.5	0.0	(0,1)	1	0.36787944117144233	(1,0)	1	0.36787944117144233	YES	2	2	3.310914970542981	UNIQUE_METRIC_LATTICE_CHARACTER
-0.5	0.5	(0,1)	1	0.61787944117144233	(1,0)	1	0.61787944117144233	YES	3	3	5.3276841994647626	UNIQUE_METRIC_LATTICE_CHARACTER
-0.5	1.0	(1,-1)	1	0.78871872823023104	(1,1)	1	0.78871872823023104	YES	4	4	6.5364551394791697	UNIQUE_METRIC_LATTICE_CHARACTER
0.0	-1.0	(1,0);(1,1)	2	1	(0,1);(1,-1)	2	1	NO_TIE	3	3	6.1114561800016816	SYSTOLIC_TIE_WALL
0.0	-0.5	(1,0)	1	1	(0,1)	1	1	YES	3	3	9.7537887487646788	UNIQUE_METRIC_LATTICE_CHARACTER
0.0	0.0	(0,1);(1,0)	2	1	(0,1);(1,0)	2	1	NO_TIE	2	2	9	SYSTOLIC_TIE_WALL
0.0	0.5	(1,0)	1	1	(0,1)	1	1	YES	3	3	9.7537887487646788	UNIQUE_METRIC_LATTICE_CHARACTER
0.0	1.0	(1,-1);(1,0)	2	1	(0,1);(1,1)	2	1	NO_TIE	3	3	6.1114561800016816	SYSTOLIC_TIE_WALL
0.5	-1.0	(1,0)	1	0.36787944117144233	(0,1)	1	0.36787944117144233	YES	3	3	4.1833312892666719	UNIQUE_METRIC_LATTICE_CHARACTER
0.5	-0.5	(1,0)	1	0.36787944117144233	(0,1)	1	0.36787944117144233	YES	3	3	5.3276841994647626	UNIQUE_METRIC_LATTICE_CHARACTER
0.5	0.0	(1,0)	1	0.36787944117144233	(0,1)	1	0.36787944117144233	YES	2	2	3.310914970542981	UNIQUE_METRIC_LATTICE_CHARACTER
0.5	0.5	(1,0)	1	0.36787944117144233	(0,1)	1	0.36787944117144233	YES	3	3	5.3276841994647626	UNIQUE_METRIC_LATTICE_CHARACTER
0.5	1.0	(1,0)	1	0.36787944117144233	(0,1)	1	0.36787944117144233	YES	3	3	4.1833312892666719	UNIQUE_METRIC_LATTICE_CHARACTER
1.0	-1.0	(1,0)	1	0.1353352832366127	(0,1)	1	0.1353352832366127	YES	3	3	1.9035335511117069	UNIQUE_METRIC_LATTICE_CHARACTER
1.0	-0.5	(1,0)	1	0.1353352832366127	(0,1)	1	0.1353352832366127	YES	3	3	2.0932648031238088	UNIQUE_METRIC_LATTICE_CHARACTER
1.0	0.0	(1,0)	1	0.1353352832366127	(0,1)	1	0.1353352832366127	YES	3	3	2.1653645317857979	UNIQUE_METRIC_LATTICE_CHARACTER
1.0	0.5	(1,0)	1	0.1353352832366127	(0,1)	1	0.1353352832366127	YES	3	3	2.0932648031238088	UNIQUE_METRIC_LATTICE_CHARACTER
1.0	1.0	(1,0)	1	0.1353352832366127	(0,1)	1	0.1353352832366127	YES	3	3	1.9035335511117069	UNIQUE_METRIC_LATTICE_CHARACTER
