completion_id	registered	classified_once	preferred_or_filtered	joint_status
FC01_BOUNDARY_BOUNDARY	YES	YES	NO	BOUNDARY_FRAMING_REQUIRED
FC02_ONE_CAP_BOUNDARY	YES	YES	NO	ONE_CAP_PLUS_BOUNDARY_CONDITIONAL
FC03_TWO_CAP_P0	YES	YES	NO	P0_BRANCH_DATA_REQUIRED
FC04_TWO_CAP_P1	YES	YES	NO	HOPF_MAP_REQUIRES_LATITUDE_AMPLITUDE_AND_PATCHING
FC05_TWO_CAP_P_GT1	YES	YES	NO	LENS_BRANCH_DATA_REQUIRED
FC06_NONPRIMITIVE_CAP	YES	YES	NO	SINGULAR_OR_ORBIFOLD_CONDITIONAL
FC07_PERIODIC_TORUS_BUNDLE	YES	YES	NO	MONODROMY_AND_HOLONOMY_DEPENDENT
FC08_MIRROR_DOUBLE	YES	YES	NO	LIFT_DEPENDENT
FC09_NONORIENTABLE_GLUE	YES	YES	NO	ORIENTATION_TWISTED
FC10_STRATIFIED_PROJECTOR	YES	YES	NO	STRATUM_DEPENDENT_OR_DEGENERATE
FC11_NONINTEGRABLE_DISTRIBUTION	YES	YES	NO	NO_GLOBAL_TORIC_PHASE
FC12_RECIPROCAL_TORIC_DIAGONAL	YES	YES	NO	CONTROL_SUBCASE_DEPENDENT_NOT_SELECTED
