source_id	path	sha256	role
S01	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/SHA256SUMS.txt	2db5a358add49249cae159ff64e9eaa56031bc936d050574725e245053b55289	parent_package_manifest
S02	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/AUDIT_REPORT.md	ed33cd7a8fe21fe8619f2a6ba3b632d5b76e79da1cd3b8be18540fb88a4f9856	parent_ruling
S03	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/STATUS_LEDGER.tsv	d2ac7d66f391f5981760566d0fee6abc3b971f6393dbc57a2e9cce8f4101bee6	parent_status
S04	udt_bootstrap_substrate_micro_closure_audit_2026-07-23/NEXT_STEP.md	12ac83f65b01ead275ef00f7968c01f70779588f22ba78c70429c48249d89451	authorized_question
S05	udt_hopf_realization_deformation_audit_2026-07-23/SHA256SUMS.txt	b1b69eb7a1aa1bfbc747f85d51c59cb835d1206c77a5be81d3eac993ee910e2b	realization_package_manifest
S06	udt_hopf_realization_deformation_audit_2026-07-23/AUDIT_REPORT.md	f6bac0e1ecd6366b0f412449291a8166f95369095485f3273ddae2fba8a42f5b	local_candidate_ruling
S07	udt_hopf_realization_deformation_audit_2026-07-23/STATUS_LEDGER.tsv	6fc160302c328994860ceca7cbfc96dbdb78cca653fa8279c54f88afb5aaacac	realization_status
S08	udt_hopf_realization_deformation_audit_2026-07-23/GLOBAL_COMPLETION_OUTCOMES.tsv	560b883f856d7f240581e951ae3fcff37e928635771e4191c635611e29b3e03b	twelve_completions
S09	udt_hopf_realization_deformation_audit_2026-07-23/derive_hopf_realization_deformations.py	f46c8143fcfe88cabce5b8486c4ff06b2eece2821d2397e197a9f2e00073e540	prior_algebra
S10	udt_coframe_hopf_bridge_audit_2026-07-23/MANIFEST.sha256	ee35787b41fbca774031080c1c12a4c0fe01dc820abdeb444e1977d58bbb0b1b	coframe_package_manifest
S11	udt_coframe_hopf_bridge_audit_2026-07-23/STATUS_LEDGER.tsv	5fb7587d6adfd009763b99467446a880d8374ef02f238a24f239c986f9403cb4	coframe_status
S12	udt_global_metric_assembly_atlas_2026-07-22/SHA256SUMS.txt	d4c7e7e16e38496343bbfbc8ef0867de45657ea2e25a724b44b653ff1b276374	global_assembly_manifest
S13	udt_chart_coframe_invariance_atlas_2026-07-21/SHA256SUMS.txt	082c41bea96e99611d3fc89a135692058e346665b4b1520d7f6d790788a0cf09	chart_invariance_manifest
S14	udt_joint_invariant_subspace_atlas_2026-07-21/SHA256SUMS.txt	973dcc8bb297fad8358087318b24e5db9d1179e8b6a51a2535a0110e30c108c2	joint_invariant_manifest
S15	udt_complete_metric_intrinsic_object_audit_2026-07-23/MANIFEST.sha256	1857bde1fff72829487f56ddd9fb461a2d9cad7b777a51baa125529713c8bfd4	intrinsic_object_manifest
S16	udt_complete_metric_intrinsic_object_audit_2026-07-23/STATUS_LEDGER.tsv	d6a594e269af0a0516558ceea800847d17aa9378f3d6bf2a0fcf9837bf835717	intrinsic_object_status
S17	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/SHA256SUMS.txt	95b69c6400aa60923126b1be4e84511876475791b49ba47a08d57db115078360	transport_manifest
S18	udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/STATUS_LEDGER.tsv	b9fbd3b4e8a507d6148b9df094efe432b685d7b1912f3c34a9445ff61045a7c7	transport_status
S19	matter_bootstrap_dimensional_inventory_2026-07-20/SHA256SUMS.txt	716c2ad9c071a49f75b4c340d6d980d75cfc0a48b0923c39e0cf3d100759ae77	dimensional_manifest
S20	noNull_energy.py	53110844b3925b9b46bb48a3865f1bf9f60290efdd01a5830e0e388aeb477444	conditional_carrier_implementation
