probe_id	probe	registered_inputs	method	certification	maximum_conclusion
CP01	constant_common_scale_control	q_positive_constant_exact	rescale_spatial_metric_and_L2_L4_terms	exact_identity	constant_homothety_changes_energy_weights_but_not_dimensionless_shape
CP02	nonconstant_conformal_response	q_equal_exp_of_registered_profile	exact_first_variation_and_manufactured_CPU_anchor	symbolic_zero_residual_and_numeric_below_1e-11	background_gradient_enters_conditional_operator
CP03	angular_anisotropy_L2_response	traceless_metric_variation_basis	exact_stress_contraction	symbolic_zero_residual	conditional_two_derivative_sensitivity
CP04	angular_anisotropy_L4_response	traceless_metric_variation_basis	exact_double_metric_contraction	symbolic_zero_residual	conditional_four_derivative_sensitivity
CP05	relative_phase_connection_response	delta_differential_plus_b	algebraic_covariant_phase-gradient_witness	exact_gauge_residual_zero	conditional_carrier_can_respond_to_connection_if_section_is_supplied
CP06	curvature_and_holonomy_obstruction	exact_nonexact_periodic_b	manufactured_polynomial_and_circle_witnesses	exact_values	global_parallel_phase_conditions_only
CP07	isotropic_zero_control	phi_zero_shear_zero	exact_substitution	eigenaxis_pair_exactly_zero	eigenaxis_undefined_not_selected
CP08	nonaligned_shape_control	SG01_cross_SG02	finite_CPU_eigenvalue_axis_response	no_outcome_filter_and_numeric_below_1e-11	local_shape_catalog_only
CP09	flat_box_existing_hopfion_provenance	existing_noNull_energy_implementation	source_and_hash_audit	no_solve_launched	conditional_reference_only
CP10	no_matter_solve_guard	all_probes	command_and_output_audit	zero_relaxation_or_time_live_commands	no_stability_mass_or_particle_conclusion
