id	object	status	mathematical_role	constrains_neighbor_curvature_values	joint_history_law	reason
O01	F1_F3_reciprocal_representation	DERIVED	representation_on_supplied_ordered_depth	NO	NO	fixes_reciprocal_response_after_depth_is_supplied
O02	F4_primary_metric_readout	DECLARED_READOUT	static_spherical_metric_family	NO	NO	contains_free_phi_profile
O03	W1_completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	completed_pullback_normalization	NO	NO	evaluates_supplied_regular_pair_metric
O04	W3_GR_quiet_reduction	WORKING_POSIT	quiet_regime_constraint	PARTIAL	NO	requires_quiet_overlap_but_does_not_propagate_full_history
O05	W4_universal_metric_coupling	WORKING_POSIT	one_metric_controls_clock_freefall_and_null_queries	NO	NO	unifies_evaluation_without_generating_metric_values
O06	W5_projective_pair_position	WORKING_FOUNDATIONAL_CLARIFICATION	complete_projective_relation_interpretation	NO	NO	projective_state_is_not_optical_area
O07	G262_one_lapse_hierarchy	DERIVED_CONDITIONAL	clock_acceleration_mass_aspect_curvature_angular_interlock	NO	NO	identities_hold_for_arbitrary_primary_profile
O08	G271_first_jet_interlock	DERIVED_CONDITIONAL	longitudinal_depth_and_transverse_first_jet_join	NO	NO	first_jet_does_not_determine_transverse_curvature_or_Jacobi_area
O09	null_geodesic_Jacobi_system	STANDARD_GEOMETRIC_EVALUATOR	propagates_supplied_ray_and_screen_in_supplied_curvature	NO	NO	requires_optical_tidal_matrix_as_input
O10	G274_full_frame_carry	DERIVED_CONDITIONAL	path_labelled_complete_relation_composition	NO	NO	carries_values_without_selecting_them
O11	G280_same_state_different_area	DERIVED_BOUNDED	nonidentity_counterexample	NO	NO	disproves_area_as_function_of_projective_state_alone
O12	G281_SNe_provenance	EXTERNALLY_REVIEWED_REPAIR_ACCEPTED	observational_provenance_boundary	NO	NO	blocks_empirical_area_curve_from_being_promoted_to_native_history
O13	G282_Brinkmann_witness	MATHEMATICAL_METHOD	full_metric_same_ray_different_curvature_discriminator	NO	NO	diagnoses_required_information_without_selecting_a_law
O14	G282_primary_same_depth_witness	MATHEMATICAL_METHOD	static_spherical_same_depth_different_areal_position_discriminator	NO	NO	diagnoses_missing_depth_to_position_map
