id	object	status	role_in_G282	forbidden_promotion
P01	F1_F3_reciprocal_representation	DERIVED	fixes_response_on_supplied_ordered_depth	assigns_depth_values_or_history
P02	F4_primary_metric_readout	DECLARED_READOUT	supplies_primary_metric_family	selects_phi_profile
P03	W1_completed_pair_dual_reciprocity	WORKING_FOUNDATIONAL_CLARIFICATION	normalizes_completed_supplied_pullback	selects_ambient_history_or_screen_area
P04	W3_GR_quiet_reduction	WORKING_POSIT	quiet_limit_constraint	imports_Einstein_equations_as_UDT_law
P05	W4_universal_metric_coupling	WORKING_POSIT	one_metric_controls_clocks_free_fall_and_nulls	generates_field_equation_or_source
P06	W5_projective_pair_position	WORKING_FOUNDATIONAL_CLARIFICATION	normalized_complete_pair_position_interpretation	identifies_projective_with_optical_or_areal_distance
P07	G262_one_lapse_hierarchy	DERIVED_CONDITIONAL	interlocks_clock_acceleration_mass_aspect_curvature_and_angular_trace	propagates_arbitrary_profile_values
P08	G271_first_jet_interlock	DERIVED_CONDITIONAL	joins_longitudinal_depth_and_transverse_transport_first_jets	determines_finite_path_or_Jacobi_area
P09	null_geodesic_and_Jacobi_equations	STANDARD_GEOMETRIC_EVALUATOR	propagate_supplied_ray_and_screen_through_supplied_curvature	create_ambient_metric_history
P10	G274_full_frame_carry	DERIVED_CONDITIONAL	composes_path_labelled_complete_relation_state	selects_path_population_or_path_independence
P11	G280_same_state_different_area	DERIVED_BOUNDED	counterexample_and_hard_discriminator	weakens_direct_redshift_or_complete_metric_evaluation
P12	G281_SNe_provenance	EXTERNALLY_REVIEWED_REPAIR_ACCEPTED	blocks_observationally_reconstructed_curve_from_being_called_prediction	imports_SNe_outcomes_into_G282
P13	Brinkmann_coordinate_representative	MATHEMATICAL_METHOD	exact_full_metric_witness	physical_history_or_field_equation
P14	vertex_Jacobi_initial_data	CHOSE_QUERY	declares_regular_optical_area_query	universal_source_population
P15	affine_segment_length	CHOSE_DOMAIN	precaustic_bounded_certification	physical_boundary_or_Xmax
P16	observational_outcomes	OMITTED	none	fit_calibration_or_selection
P17	field_equation_action_source_matter	OMITTED	none	import_as_native_closure
