id	statement	status	basis	forbidden_upgrade
S01	reciprocal_depth_determines_completed_pair_squeeze_on_supplied_regular_pair	DERIVED_CONDITIONAL	F1_F3_and_W1	does_not_generate_depth_values_or_history
S02	complete_metric_and_declared_null_query_determine_Jacobi_area	DERIVED_CONDITIONAL	geodesic_deviation_on_supplied_history	does_not_select_the_metric_or_optical_tidal_matrix
S03	one_metric_can_control_clock_freefall_null_and_screen_readouts	WORKING_POSIT	W4_universal_metric_coupling	does_not_supply_a_field_equation
S04	primary_depth_and_angular_first_jet_are_natively_interlocked	DERIVED_CONDITIONAL	G262_and_G271	does_not_determine_finite_path_or_area
S05	same_central_metric_first_jet_connection_and_endpoint_state_can_admit_different_Jacobi_area	DERIVED_BOUNDED	G282_exact_Brinkmann_witness	does_not_reject_metric_native_optics
S06	same_primary_depth_can_occur_at_different_areal_positions	DERIVED_BOUNDED	G282_exact_primary_witness	does_not_select_either_profile
S07	owned_joint_depth_Jacobi_history_law_in_frozen_18_source_universe	NOT_FOUND	fail_closed_ownership_census	must_not_generalize_beyond_frozen_sources
S08	minimum_missing_information	OPEN_TYPED	nonidentity_constraint_on_neighbor_relation_curvature_values	must_not_be_called_unique_second_order_metric_PDE
S09	allowed_equivalent_law_homes	OPEN	metric_two_jet_or_first_order_coframe_connection_or_global_neighbor_network	must_not_choose_one_without_new_evidence
S10	Einstein_equation_action_source_or_matter_model	NOT_ADOPTED	outside_G282_scope	must_not_be_imported_as_native_UDT
S11	observational_fit_scale_or_Xmax	NOT_USED	preregistered_omission	must_not_be_inferred_from_the_discriminator
S12	external_review_status	REPAIR_ACCEPTED	final_fresh_sealed_gpt_5_4_repair_only_followup	bounded_scientific_landing_unchanged
