catch_id	mutation	expected	result
C01	remove_one_source_verification_row	FAIL	REJECTED_AS_REQUIRED
C02	duplicate_one_source_verification_identity	FAIL	REJECTED_AS_REQUIRED
C03	replace_primary_locator_with_non_primary_non_https_locator	FAIL	REJECTED_AS_REQUIRED
C04	promote_metadata_only_Rovelli_record_to_full_text	FAIL	REJECTED_AS_REQUIRED
C05	remove_path_dependency_from_parallel_transport	FAIL	REJECTED_AS_REQUIRED
C06	remove_global_domain_gate_from_world_function	FAIL	REJECTED_AS_REQUIRED
C07	remove_observer_from_frequency_transfer	FAIL	REJECTED_AS_REQUIRED
C08	make_observer_space_quotient_automatic	FAIL	REJECTED_AS_REQUIRED
C09	promote_H10_from_LEAD_to_DERIVED	FAIL	REJECTED_AS_REQUIRED
C10	relabel_all_seven_UDT_extension_directions_as_gauge	FAIL	REJECTED_AS_REQUIRED
C11	remove_seven_direction_anti_import_disclosure	FAIL	REJECTED_AS_REQUIRED
C12	adopt_Einstein_equations_as_UDT_dynamics	FAIL	REJECTED_AS_REQUIRED
C13	remove_GR_dynamics_anti_import_disclosure	FAIL	REJECTED_AS_REQUIRED
C14	promote_an_open_UDT_target	FAIL	REJECTED_AS_REQUIRED
C15	remove_one_independent_source_fact	FAIL	REJECTED_AS_REQUIRED
