fact_id	source_ids	fact	required_architecture_or_hypothesis	independent_scope_guard
F01	S04;S16	observer_adapted_frame_requires_observer_input_and_retains_frame_equivalence	A02;A03;H01	No preferred UDT observer inferred
F02	S14	parallel_transport_is_path_groupoid_functor_equivalent_to_bundle_connection_descent	A04;A13;H02;H08	Mathematical equivalence only
F03	S05;S10;S14	curvature_holonomy_controls_loop_transport_and_path_independence	A05;H03	No UDT connection supplied
F04	S02;S13	world_function_transfer_requires_unique_connecting_geodesic_domain	A06;H04	No arbitrary global single-valued claim
F05	S03;S06;S12;S13	optical_comparison_uses_source_observer_and_null_path_or_congruence	A07;A08;H05	No co-presence or signal ontology inferred
F06	S07	constructive_layers_require_light_free_fall_compatibility_and_integrability_inputs	A09;H06	Inputs remain operational postulates
F07	S15	observer_space_quotient_requires_integrability_and_global_action_gates	A12;H07	No automatic UDT quotient
F08	S09;S16;S18	dynamics_data_select_metric_development_without_canonical_observer_tetrad	A11;H09	Scoped inference from distinct source results
F09	S17	relational_observable_requires_reference_variables_and_orbit_uniqueness	A14	No GR constraint imported
F10	S04	geodesic_deviation_is_path_and_observer_curvature_readout	A15	Abstract-scoped
F11	S08	causal_reconstruction_requires_distinguishing_and_global_conditions	A10	No metric scale reconstruction
F12	S10;S14;S15;S16	bundle_equivalence_transport_and_quotient_precede_preferred_section_question	H10	UDT lead only not derivation
