object	status	exact_scope	remaining_open
bounded_external_corpus	COMPLETE	18 preregistered primary-source identities with access grades and one append-only citation correction	Not an exhaustive century-wide bibliography
relational_architecture_matrix	VERIFIED_WITH_CAVEATS	15 objects by 10 dependency types; 150 typed cells	Semantic source interpretation did not receive a fresh independent model review
H01_unique_tetrad	SUPPORTED_SCOPED	Metric supplies frame class not generic preferred tetrad	Special geometries or extra structure may select frames
H02_path_transport	SUPPORTED_SCOPED	Separated directional comparison uses path-labelled connection transport	UDT path and connection not derived
H03_holonomy	SUPPORTED_SCOPED	Curvature/holonomy governs generic path dependence and possible invariant reductions	UDT holonomy structure not selected
H04_world_function	SUPPORTED_EXACT_LOCAL_SCOPE	Unique-geodesic normal-convex domain is explicit	Global branch/cut/conjugate handling remains path-labelled
H05_optics	SUPPORTED_SCOPED	Observer endpoints plus null path/congruence and transport are inputs	No UDT signal ontology or optical law imported
H06_constructive_layers	SUPPORTED_EXACT_LOCAL_SCOPE	Conformal/projective/Weyl/metric layers require operational primitives and compatibility	No claim that UDT owns the EPS inputs
H07_observer_space	SUPPORTED_EXACT	Spacetime recovery requires integrability and quotient gates	UDT satisfaction of those gates open
H08_equivalence_plus_connection	SUPPORTED_MATHEMATICAL_ARCHITECTURE	Complete path transport need not select a preferred global section	Physical sufficiency for UDT open
H09_dynamics_and_frame	SUPPORTED_SCOPED_INFERENCE	Metric development and tetrad representative are distinct selections	UDT dynamics still open
H10_UDT_dependency_order	LEAD	Derive bundle/equivalence/descent/transport before demanding a preferred extension	Not a UDT theorem or selected structure
seven_parameter_extension	UNCHANGED_DERIVED_CLASSIFICATION	Remains physical pointwise metric rank until UDT proves an equivalence	No direction gauged away by analogy
complete_UDT_extension	OPEN	No external source selects it	Bundle transition law admissible sections and physical domain open
carrier_action_source_boundary_bootstrap_mass	UNCHANGED	All premise stamps preserved	Complete physics remains open
