premise_id	item	provenance_tag	status_or_value	allowed_role
P01	UDT_metric_is_the_theory	pinned-by-THEORY	binding_project_rule	controls_crosswalk
P02	founded_phi_identity_and_pair_action	pinned-by-THEORY	DERIVED	active_UDT_foundation
P03	complete_four_dimensional_extension	free-and-explored	OPEN	comparison_target_not_assumed
P04	observer_event_path_variation_domain	free-and-explored	OPEN	comparison_target_not_assumed
P05	strong_local_CSN	pinned-by-THEORY	INACTIVE_CHALLENGED_NOT_DERIVED	must_not_enter_crosswalk
P06	c_E_and_G_obs	pinned-by-THEORY	OBSERVED_ANCHORS_RETAINED	status_only_no_numeric_use
P07	GR_Lorentzian_metric	pinned-by-SOURCE	SUPPLIED_IN_STANDARD_GR	comparison_architecture_only
P08	Levi_Civita_connection	pinned-by-SOURCE	DERIVED_FROM_SUPPLIED_METRIC_WITH_STANDARD_ASSUMPTIONS	comparison_architecture_only
P09	local_Lorentz_gauge	pinned-by-SOURCE	TO_BE_SOURCE_SCOPED	comparison_architecture_only
P10	observer_worldline_or_timelike_direction	free-and-explored	SOURCE_DEPENDENT_INPUT	never_silently_identified_with_UDT_observer
P11	path_geodesic_or_congruence	free-and-explored	SOURCE_DEPENDENT_INPUT	never_silently_selected_for_UDT
P12	Einstein_field_equations	pinned-by-HABIT	EXCLUDED_FROM_AFFIRMATIVE_UDT_ROLE	comparison_boundary_only
P13	GR_matter_initial_boundary_data	pinned-by-HABIT	EXCLUDED_FROM_AFFIRMATIVE_UDT_ROLE	comparison_boundary_only
P14	preferred_global_tetrad	free-and-explored	NOT_ASSUMED	tested_claim
P15	co_presence_Xmax_Hopf_bootstrap	free-and-explored	NOT_TARGETED	no_confirmation_filter
P16	external_source_universe	pinned-by-PREREGISTRATION	18_primary_papers	bounded_not_exhaustive
