target_id	current_UDT_status	GR_Lorentzian_architecture_clue	allowed_UDT_question	forbidden_inference	result
U01	DERIVED_FOUNDATION_EXTENSION_OPEN	A local representation can define a fiber action before a global section is selected	Does founded diag(exp(-phi),exp(+phi)) define an equivariant reciprocal subbundle under the complete coframe transition group?	Lorentz frame theory is already the UDT extension	SHARPENED_OPEN_QUESTION
U02	DERIVED_CLASSIFICATION_NOT_SELECTION	Frame representatives and physical metric alternatives are different mathematical freedoms	Which of the seven pointwise extension parameters are transition-representative freedom and which remain inequivalent metric data under a UDT-derived equivalence law?	All seven directions are Lorentz gauge	REQUIRES_DERIVED_EQUIVALENCE_TEST
U03	AVAILABLE_CONDITIONAL_PHYSICAL_FUNCTOR_OPEN	Path transport is naturally functorial and connection-labelled	Can the conditional A_gamma construction be recovered from UDT-derived bundle and connection data rather than supplied X path and U?	Conditional functor is already physical comparison	SHARPENED_OPEN_QUESTION
U04	ZERO_SELECTED_IN_TWELVE_FAMILY_BOUNDARY	Failure to select a preferred section need not mean relational geometry is incomplete	Replace selector-first ordering by derive bundle/equivalence/descent then classify sections modulo that equivalence	GR gauge freedom erases the seven-parameter physical rank	DEPENDENCY_ORDER_CORRECTION_LEAD
U05	DERIVED_REDUCIBLE_GIVEN_COMMON_PATH	A cocycle needs a typed path category and transition law to become global geometry	Derive the common-path category reversal and descent rules from the UDT metric	Any GR geodesic is the UDT path	SHARPENED_OPEN_QUESTION
U06	SMALLEST_SURVIVING_TYPE_GIVEN_OPEN_PROFILE	Two-point scalars are local/path-branch objects unless a global uniqueness theorem is proved	Define the observer-pair depth on path-labelled branches and test descent across branch changes	World function supplies phi or the realized UDT profile	SHARPENED_OPEN_QUESTION
U07	CONDITIONAL_OR_OPEN_PER_LEDGER	Bundle reconstruction requires transition functions connection and quotient/global gates	Derive or fail the UDT structure group transition cocycle connection and admissible section class	Import a Lorentz or Cartan connection by familiarity	TOP_RANKED_DERIVE_OR_FAIL_TARGET
U08	OPEN_COHERENT_ARCHITECTURE	Relational observables require explicit reference variables and orbit-uniqueness conditions	Specify whether bootstrap closure acts on equivalence classes sections or complete path functors	GR constraints or clocks close the UDT bootstrap	DEPENDENCY_TYPE_CLARIFIED
U09	WORKING_SCHEMA_FUNCTIONAL_OPEN	Global two-point comparison may be branch-valued where connecting paths cease to be unique	Test whether Xmax is a property of the UDT observer-pair/path quotient and how holonomy labels degeneracies	Cut-locus theory derives Xmax or CMB structure	SHARPENED_OPEN_QUESTION
U10	PRESERVE_EXACT_REGISTERED_LEVELS	Dynamics data and matter sit downstream of kinematic and transport architecture in GR	Keep carrier action source boundary bootstrap mass and dynamics open while the relational base is audited	Einstein equations null optics or GR matter are affirmative UDT physics	NO_STATUS_CHANGE
