target_id	current_source	comparison_target	controlling_status
U01	CURRENT_SCIENTIFIC_PREMISES.tsv	founded_phi_identity_and_pair_action	DERIVED_FOUNDATION_EXTENSION_OPEN
U02	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	seven_parameter_pointwise_extension_class	DERIVED_CLASSIFICATION_NOT_SELECTION
U03	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md	path_labelled_transported_extension_functor	AVAILABLE_CONDITIONAL_PHYSICAL_FUNCTOR_OPEN
U04	udt_metric_natural_complete_extension_selector_audit_2026-07-27/AUDIT_REPORT.md	metric_natural_extension_selectors	ZERO_SELECTED_IN_TWELVE_FAMILY_BOUNDARY
U05	udt_observer_longitudinal_transverse_cocycle_audit_2026-07-24/AUDIT_REPORT.md	clock_plus_transverse_path_cocycle	DERIVED_REDUCIBLE_GIVEN_COMMON_PATH
U06	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	observer_indexed_bilocal_depth	SMALLEST_SURVIVING_TYPE_GIVEN_OPEN_PROFILE
U07	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	global_reciprocal_bundle_and_transition_data	CONDITIONAL_OR_OPEN_PER_LEDGER
U08	udt_global_local_relational_closure_audit_2026-07-25/AUDIT_REPORT.md	global_local_join_and_response	OPEN_COHERENT_ARCHITECTURE
U09	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	global_observer_pair_maximum_separation	WORKING_SCHEMA_FUNCTIONAL_OPEN
U10	CURRENT_SCIENTIFIC_PREMISES.tsv	carrier_action_bootstrap_source_boundary_mass	PRESERVE_EXACT_REGISTERED_LEVELS
