object	status	ownership_or_guard
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	not derived or canon
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	bounded G312 arena only
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response only
Ric_ab=Lambda g_ab	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	regular local metric-only vacuum arena
G315 spacelike constraints	DERIVED_CONDITIONAL	active equation projected onto supplied slice
G316 conformal method	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	constraint chart not native dynamics
flat marked T3	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not selected physical topology or scale
positive periodic psi	FREE_AND_EXPLORED_WITH_REGULARITY	profile not fitted or selected
sign-definite tau	CHOSE_BOUNDED_BRANCH	zero and sign-changing tau remain open
constant diagonal TT seed	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	nondiagonal and nonconstant seeds open
one-coordinate dependence	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	multidimensional dependence open
constant-ratio separability	REMOVED_NOT_ACTIVE	G318 regression subfamily only
A and B variables	MATHEMATICAL_REPARAMETERIZATION	A=tau+lambda B=tau-lambda
B nowhere-zero stratum	CLASSIFY_SEPARATELY	not silently promoted to full family
B zero or crossing stratum	MUST_RETAIN_AND_CHARACTERIZE	no division by B in global identity
integration constant J0	FREE_CONSTRAINT_CONSTANT	not observation scale Xmax or selected datum
standard ODE and periodic analysis	CONDITIONAL_IMPORTED_MATHEMATICAL_METHOD	not a field premise
metric and reciprocal kernel	UNCHANGED	no kernel construction in G319
physical initial data and history	OPEN_NOT_SELECTED	constraint solutions are admissible supplied data
source matter mass observation scale physical Xmax	OPEN_OMITTED	no import or selection
