id	path	registered_status	load_bearing_statement	audit_effect	git_blob	sha256
A01	CURRENT_SCIENTIFIC_PREMISES.md	CURRENT	Founded phi and reciprocal clock/ruler action are DERIVED; complete action, source, boundary, dynamics and mass remain OPEN.	CONTROLS	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491
A02	udt_complete_relational_configuration_variation_domain_audit_2026-07-26/AUDIT_REPORT.md	DERIVED_TYPE_CLASSIFICATION	Complete metric plus angular/mixing content is the physical geometric arena; the final physical variation domain and boundary remain OPEN.	SUPPORTS_OFFSHELL_PARENT	14fd64b0b68acd3b2b06bf9d28701297524b6847	b3cbbd3af7901fda7758b174ba4d90f3f7deabdbbf36b1723c3af5181609cf6a
A03	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	DERIVED_WITH_OPEN_EXTENSION	Founded phi is derived while complete four-dimensional extension selection remains OPEN.	SUPPORTS_OFFSHELL_PARENT	3f134a87767bfeefbe98a8464ba115dfed788239	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783
A04	udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	OPEN_SELECTOR	Registered premises do not select the complete coframe extension or its physical tangent domain.	BLOCKS_REALIZED_PARENT	fed10038348e7bb06d3074a852b586504ed8798a	260979d6e5449844c5ed4676f3cebc331934dfa17d9df3e92f6fabeb86ada507
A05	udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	DERIVED_EXISTENCE_CLASS	Complete regular reciprocal configurations exist off shell; no native equation selects a realized member.	SUPPORTS_OFFSHELL_PARENT	068ab7cba48b95dc46855e4a2822e9f8328a1c19	7aa0b81caa6504974e8ace4fc2c313a9e8394ad293b3d7c316412ca7ec6485f1
A06	udt_global_functional_dof_constraint_rank_audit_2026-07-26/CORRECTION_LAYER.md	CORRECTION	Generic arena amplitudes are not a native field or propagating-mode count; founded phi is not an added independent field.	CONTROLS	d99dafcfab0a3a331a05b45737c5d38132e11dab	3653fb96d844a9a60eb3288cf8b877b780a9a3f3983b94bf3d84f16c5fa49509
A07	udt_p4_bookkeeping_forcing_2026-07-29/AUDIT_REPORT.md	CONDITIONAL_FORK	Constant-moduli and field-moduli P4 domains are distinct registered conditional census choices.	SEPARATE_CONDITIONAL_SPACE	2022a73df1427fded7c808c47600bd0a2528fad9	184dc0d4f65035947c5df58286f5ff2745670bedb33bd6af16c7a9048159931c
A08	udt_p4_bookkeeping_forcing_2026-07-29/EXACT_DERIVATION.md	EXACT_PULLBACK	The constant-section pullback of the field response gives integrated constant rows; the reverse stationary implication is not derived.	RELATION_ONLY	c9ee63a0213cde0d32a88d97a72feb2d7fed8385	5a797b1816470432ffd836aeca70a004cd57a4a5ad8f0077f96f5ea25ed111c6
A09	udt_p4_routeD_field_registration_2026-07-29/AUDIT_REPORT.md	CONDITIONAL	Field-moduli response is registered as a permitted class, not selected as the native branch.	SEPARATE_CONDITIONAL_SPACE	8834715a44de33c4a8ebb3cb85cdd8e0f53b3439	7dc0144a8ceca79d14908bb2b18b963a7b87226474500821269cadccc96f3e5e
A10	udt_p4_timelive_stage_T2_2026-07-31/AUDIT_REPORT.md	FORMAL_MODULE	The time-live object is a formal typed module without a selected native response or common realized witness.	NO_REALIZED_EMBEDDING	2fa68b8e132802e899adc299676726d29442b061	a69cb03d58a131d106cdea535c0eaa575a52f9c1bd99ce8327d0f666db3e7373
A11	udt_p4_angular_stage_A3_2026-07-31/AUDIT_REPORT.md	FORMAL_MODULE	The angular-live object is a formal typed module without a selected common on-shell realization.	NO_REALIZED_EMBEDDING	14a6a8f701c118f00f8a6ee0792c79770d928532	a1a7e875a60e9c63e6d05583abcab6012f0677c90fe113d99d172b5dd50c5bb3
A12	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	CONDITIONAL	The implementation is full 3D Hopf-capable, but its round S2 carrier, L2+L4 functional and finite-box boundary do not derive from the metric arena.	SEPARATE_CONDITIONAL_SPACE	776220ebee57c9a55e82db8cf1dc832d951be0d6	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
A13	udt_joint_realization_closure_audit_2026-08-01/AUDIT_REPORT.md	OPEN	Registered modules do not supply one nonzero common live realization or its native equation and boundary.	BLOCKS_REALIZED_PARENT	2b7d3b8e710379ee1981bd627a04de22a62819e9	9fa6113a0546c4ac8a36cb19d5352a9dfe8f67bb3b90df7574b88e08727a20e4
A14	udt_jr_cert_native_derivation_2026-08-01/AUDIT_REPORT.md	OPEN	No registered native certificate closes the family relations into one owned realized space.	BLOCKS_PERSISTENCE	bd7121706a490a7df8b4466fd7981ba3694fb5b6	4b50f9e0efaff8a9341c32cec6dbd7f4084487f14d38b3039f143c892fb071d4
A15	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	WORKING_POSIT	Bootstrap has a coherent type schema but no derived membership, return or closure operation.	NO_RETURN_MAP	951fe65d059ef5fa0095ddc0d7e34526909fba9c	25e98f0d6c8022045b9b6b8aceb33bbbe7910c0f411ee094b5a1f033e2e914bd
A16	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	DERIVED_NATURALITY	Whole-configuration Reciprocity constrains naturality/equivariance; it is not a selector, flow or bootstrap return.	CONSTRAINT_NOT_DYNAMICS	c45fd8f470e593ab67f27a4ee3db9258061b5fbe	e6022ae04eb9e12a7a87b5ddcd28c89d138c997511872b7b4b554f987baa4d87
A17	udt_global_local_self_consistency_premise_audit_2026-08-01/AUDIT_REPORT.md	DISTINCT_WORKING_POSIT	Global-local self-consistency is coherent as a new premise but is not derived by existing foundations.	NO_RETURN_MAP	9d6e55945ff12dffd02cf10d6a20c49e258dbdcc	4b50da1d2d37dc07a1690a3659fd88da6eda0c701489802446597def0698e40e
A18	udt_stability_derivation_closure_sweep_2026-08-01/AUDIT_REPORT.md	BOUNDED_NEGATIVE	Fifteen objects across five active families (F01, F02, F04, F05, F07) do not presently close every required upstream derivation.	BLOCKS_GLOBAL_BASIN	fc77c072456c80a562ec0afac1bc0fb11e58a8c8	2697530272ff6db9c3c18103301bdcc7295b34dd77f0839ee8645b0752020dfc
A19	udt_stability_family_ontology_audit_2026-08-01/AUDIT_REPORT.md	ONTOLOGY_CORRECTION	F01-F07 are evidence buckets rather than a native partition of solution space or particle species.	BLOCKS_GLOBAL_BASIN	1f451812f3baee9c05c08695839a53899db031fc	f65dcf8e86c2a191ce10f42044419514d6c87ba69d64a8d3c3fb4b7dd55583bb
A20	udt_stability_family_survivor_map_2026-08-01/AUDIT_REPORT.md	WORKING_MAP	F01, F02 and F04 use different objects and premise stacks, and no common metric-native stability operator is supplied.	BLOCKS_GLOBAL_BASIN	b0f91defc74284f6b618216040fc10725d321879	dedfd4ee52dda0dd56dae220bcd08b7167195c88ff9b8cf27a72ed3b4e641ee6
A21	PONDER_MATH_ELEGANCE_2026-07-31.md	WORKING_LEAD_ONLY	Taxonomy times stable-basin is an interpretation to test after the native landscape is typed, never affirmative authority.	INTERPRETATION_ONLY	6f46b7760ef65c1e46190d0643fe83b174938dca	6d510c050f9c116e4c09e82f4edf6ac942bd64f95bb1476dc2196cae8e24c6b9
