mutation	class	expected	observed
missing_source_row	source_identity	reject	PASS
duplicated_source_row	source_identity	reject	PASS
source_hash_mismatch	source_identity	reject	PASS
manifest_hash_mismatch	source_identity	reject	PASS
missing_authority	source_identity	reject	PASS
authority_hash_mismatch	source_identity	reject	PASS
promote_outcome	outcome	reject	PASS
invent_native_family	outcome	reject	PASS
promote_carrier	premise	reject	PASS
promote_action	premise	reject	PASS
promote_boundary	premise	reject	PASS
invent_bootstrap_operation	premise	reject	PASS
equate_stationary_sets	p4_pullback	reject	PASS
close_p4_converse	p4_pullback	reject	PASS
invent_live_join	common_realization	reject	PASS
invent_hopfion_embedding	carrier_embedding	reject	PASS
invent_bootstrap_return	bootstrap	reject	PASS
reciprocity_as_dynamics	reciprocity	reject	PASS
formal_union_as_native	parent_selection	reject	PASS
promote_hopfion_model	carrier_model	reject	PASS
attach_hopfion_to_parent	carrier_model	reject	PASS
invent_native_basin	stability_scope	reject	PASS
erase_conditional_basin_stamp	stability_scope	reject	PASS
