mutation	caught
promoted_primary_outcome	PASS
invented_native_realized_family	PASS
carrier_posit_promoted	PASS
conditional_action_promoted	PASS
chosen_boundary_promoted	PASS
bootstrap_operation_invented	PASS
reciprocity_used_as_dynamics	PASS
working_lead_promoted	PASS
pullback_made_stationary_equivalence	PASS
live_modules_declared_realized	PASS
Hopfion_embedding_invented	PASS
bootstrap_return_invented	PASS
formal_union_promoted	PASS
Hopfion_model_promoted	PASS
native_basin_declared	PASS
conditional_stamp_removed	PASS
missing_native_gate	PASS
catalogue_made_solution_partition	PASS
P4_parent_relation_erased	PASS
P4_conditional_subdomain_promoted	PASS
P4_parent_relation_promoted	PASS
