control	stratum	result	maximum_conclusion
C01	coincident_directions	least_turning_map_identity	local_identity_only
C02	generic_nonantipodal_pair	proper_orthogonal_map_fixes_common_perpendicular	canonical_direct_geometric_evaluator
C03	orthogonal_directions	least_turning_map_regular_projection_singular	projection_not_screen_carry
C04	three_directions_one_short_great_circle	direct_equals_sequential	restricted_flat_control
C05	noncoplanar_octant_triple	sequential_differs_from_direct_by_quarter_turn	finite_screen_holonomy
C06	antipodal_directions	screen_subspaces_equal_but_least_turning_extension_path_dependent	no_unique_continuous_extension
C07	whole_celestial_S2	tangent_bundle_not_globally_frameable	no_global_endpoint_only_flat_cocycle
C08	G224_scalar_line	inverse_clock_coefficients_multiply_exactly	scalar_channel_retained
C09	G188_finite_Jacobi	curvature_integrated_matrix_not_pointwise_isometry	separate_path_labelled_channel
C10	independent_direct_relation	not_constrained_by_actual_composite	G214_boundary_retained
