object	status	evidence	open_scope
incident_positive_screen_plane	DERIVED_CONDITIONAL	EXACT_DERIVATION.md section 1	supplied observer event and null direction
G188_quotient_to_observer_screen	DERIVED_CONDITIONAL	EXACT_DERIVATION.md section 1	one supplied incidence
nonantipodal_least_turning_direct_isometry	DERIVED_CONDITIONAL_STANDARD_GEOMETRIC_EVALUATOR	EXACT_DERIVATION.md section 2	not selected physical transport
raw_orthogonal_projection	CONTROL_NOT_ISOMETRY	EXACT_DERIVATION.md section 3	not screen carry
three_direction_screen_holonomy	DERIVED_CONDITIONAL	EXACT_DERIVATION.md section 4	supplied direction sequence
global_endpoint_only_flat_screen_cocycle	NO_GO_UNDER_CONTINUITY_AND_ALL_DIRECTIONS	EXACT_DERIVATION.md section 5	local patches and path groupoid survive
antipodal_least_turning_extension	NONUNIQUE	EXACT_DERIVATION.md section 6	abstract identity of equal planes still exists
G224_scalar_carry	RETAINED_EXACT	EXACT_DERIVATION.md section 7	one_dimensional_only
G188_Jacobi_transport	SEPARATE_MATRIX_CHANNEL	EXACT_DERIVATION.md section 7	path_and_curvature_labelled
universal_null_protocol	OPEN	outside_G225	not selected
physical_history_and_relation_population	OPEN	outside_G225	not selected
G225_landing	DERIVED_CONDITIONAL__INTERNALLY_VERIFIED__FRESH_EXTERNAL_REVIEW_PENDING	39 symbolic checks plus 580013 exact-rational assertions	bounded declared regime
