premise	status	active_use	forbidden_promotion
four_dimensional_time_oriented_Lorentz_metric_at_event	SUPPLIED	defines_clock_rest_space_and_null_cones	selected_physical_history
metric_unit_future_observer_clock_U	DERIVED_CONDITIONAL_FROM_SUPPLIED_OBSERVER_GERM	defines_rest_space_and_frequency_normalization	preferred_global_congruence
two_or_three_future_null_incident_directions	SUPPLIED_QUERY	defines_vertex_screen_spaces	universal_null_relation_population
shared_marked_observer_event	SUPPLIED_COMPOSABILITY	puts_all_directions_in_one_tangent_space	automatic_for_same_observer_label
screen_as_positive_quotient_or_rest_plane	DERIVED_G188_G222	object_to_be_compared	physical_screen_frame
no_spacetime_or_screen_orientation	CHOSE_LEAST_STRUCTURE	retains_passive_O2_gauge	implicit_SO2_orientation
nonantipodal_stratum	FREE_AND_EXPLORED	classifies_regular_direct_map	exclusion_of_antipodal_failure
coincident_orthogonal_and_antipodal_strata	FREE_AND_EXPLORED	degeneracy_controls	ignored_limits
least_turning_direct_isometry	OPEN_TEST	candidate_metric_natural_map	assumed_physical_transport
exact_vertex_cocycle	OPEN_TEST	composition_falsifier	assumed_flatness
along_ray_Levi_Civita_and_Jacobi_transport	OMITTED_SEPARATE_G188_CHANNEL	type_boundary	inference_from_pointwise_vertex_map
G224_vertical_scalar_switch	DERIVED_CONDITIONAL	reduction_and_separation_control	screen_map_by_scalarization
physical_history_protocol_population_Xmax_transfer_source_action_matter	OMITTED	outside_bounded_question	construction_input_or_inference
