id	object	status	exact_scope	remaining_open
S01	copresence	WORKING_INTERPRETIVE_FRAME	whole_candidate_solution_reading	derivation_or_replacement
S02	metric_causal_structure	DERIVED_CONDITIONAL	Lorentzian_metric_cones	matter_signal_response
S03	instantaneous_operational_access	NOT_DERIVED	explicitly_excluded	complete_response_law
S04	complete_whole_solution_law	OPEN	not_supplied	action_or_global_admissibility
S05	global_quaternion_Maurer_Cartan_coframe	DERIVED_EXACT	S3_configuration_completion	physical_topology_selection
S06	global_slice_regular_C01_to_C08	DERIVED_EXACT	frozen_candidates	other_profiles_and_parameters
S07	curvature_invariant_gradient_rank_C01_to_C07	DERIVED_EXACT	north_event_full_four_metric	other_family strata
S08	full_continuous_Killing_algebra_C01_to_C07	DERIVED_EXACT	one_dimensional_span_K	discrete_symmetry_details
S09	intrinsic_stationary_clock_depth_C01_to_C07	DERIVED_CONDITIONAL_BRANCH	stationary_K_orbits	universal observer semantics
S10	twist_selected_reciprocal_ruler_C01_to_C06	DERIVED_EXACT	same_metric_unique_K_and_nonzero_twist	ordered_sign_and_physical selection
S11	single_all_gate_configuration_witness	DERIVED_CONFIGURATION_EXISTENCE	C01_to_C06	on_shell_selection
S12	lambda	OPEN	six_passing_values	no_selector
S13	profile_epsilon_and_twist	CHOSE_FREE_BOUNDED_WITNESS	frozen_existence_test	field_equation_or_preference
S14	endpoint_vs_path_semantics	OPEN	not_selected	complete_comparison law
S15	action_boundary_carrier_source_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	outside_audit	complete_physics
S16	overall	VERIFIED_WITH_CAVEATS_BOUNDED_CONFIGURATION_EXISTENCE	exact_jets_independent_autodiff_and_exact_coframe	no_fresh_external_model_or_on_shell claim
