path	role
CURRENT_SCIENTIFIC_PREMISES.md	current_premise_prose
CURRENT_SCIENTIFIC_PREMISES.tsv	current_premise_machine_ledger
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founded_reciprocal_pair
LIVE.md	current_authority
HANDOFF.md	current_handoff
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	scientific_frontier
copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	copresence_status_and_causal_scope
copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	copresence_machine_status
udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	endpoint_path_semantics
udt_founding_observer_comparison_semantics_audit_2026-07-27/STATUS_LEDGER.tsv	semantics_machine_status
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/PREREGISTRATION.md	parent_frozen_family
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	parent_result
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	parent_exact_coframe_and_twist
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	parent_machine_status
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/NEXT_STEP.md	parent_authorized_open_gate
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	global_bundle_scope
udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	intrinsic_depth_requirements
