catch_id	corruption_or_overclaim	required_rejection
F01	copresence_promoted_to_zero_time_or_instant_access	FAIL_G02_G19
F02	copresence_deleted_from_premise_ledger	FAIL_G02
F03	metric_causal_structure_called_complete_signal_law	FAIL_G02_G19
F04	coordinate_partial_t_called_intrinsic_without_invariant_rank	FAIL_G09_G10
F05	numerical_nonzero_determinant_substituted_for_exact_certificate	FAIL_G09
F06	three_scalar_values_substituted_for_three_independent_gradients	FAIL_G09
F07	invariants_computed_from_spatial_metric_instead_of_complete_four_metric	FAIL_G08
F08	Killing_value_reduction_called_full_one_jet_reduction	FAIL_G11
F09	one_jet_continuation_used_without_analytic_or_connected_scope	FAIL_G12
F10	different_candidates_spliced_to_pass_all_gates	FAIL_G16
F11	a_equals_zero_called_twist_selected_ruler	FAIL_G13_G17
F12	epsilon_equals_zero_called_nontrivial_depth	FAIL_G07_G17
F13	slice_inequality_checked_only_at_certificate_point	FAIL_G05
F14	stereographic_chart_boundary_called_metric_singularity	FAIL_G03
F15	global_coframe_claimed_from_local_coordinate_forms_without_quaternion_descent	FAIL_G03
F16	lambda_selected_because_one_candidate_passes	FAIL_G18
F17	profile_called_solution_of_an_equation_not_supplied	FAIL_G18_G20
F18	configuration_called_on_shell_stable_or_physical	FAIL_G20
F19	endpoint_only_or_path_labelled_semantics_selected	FAIL_G19
F20	action_source_density_bootstrap_mass_Xmax_or_dynamics_inferred	SCOPE_FAILURE
F21	candidate_added_removed_or_retuned_after_rank_inspection	PREREGISTRATION_FAILURE
F22	rank_deficiency_in_frozen_candidates_promoted_to_full_family_no_go	SCOPE_FAILURE
