catch_id	status	exercised_rejection
F01	PASS	copresence_not_zero_time_or_instant_access
F02	PASS	four_stamps_required
F03	PASS	metric_cone_not_signal_law
F04	PASS	intrinsic_clock_requires_exact_rank
F05	PASS	exact_fraction_determinants_required
F06	PASS	gradient_rank_not_scalar_value_difference
F07	PASS	full_four_metric_invariants_required
F08	PASS	value_and_isotropy_ranks_separate
F09	PASS	connected_Killing_transport_scope_required
F10	PASS	same_candidate_all_gate_check
F11	PASS	twist_off_control_rejected
F12	PASS	depth_off_control_rejected
F13	PASS	global_slice_bound_required
F14	PASS	stereographic_edge_not_global_singularity
F15	PASS	quaternion_Maurer_Cartan_descent_required
F16	PASS	no_lambda_selection
F17	PASS	free_profile_not_on_shell
F18	PASS	no_stability_or_physical_promotion
F19	PASS	no_endpoint_path_selection
F20	PASS	no_downstream_physics_inference
F21	PASS	eight_candidate_identity_frozen
F22	PASS	bounded_negative_scope_if_rank_route_failed
