gate_id	property	required_certificate
G01	source_integrity	17_of_17_manifest_replay
G02	copresence_stamp_integrity	exact_four_statuses_retained
G03	global_completion	unit_quaternion_Maurer_Cartan_forms
G04	Lorentzian_nondegeneracy	exact_coframe_and_metric_determinants
G05	spacelike_slice	exact_global_bound_for_each_candidate
G06	stationary_timelike_K	Killing_and_negative_norm_everywhere
G07	nontrivial_clock_depth	nonconstant_phi_and_K_norm
G08	intrinsic_scalar_set	I1_I2_I3_from_complete_four_metric
G09	exact_gradient_rank	exact_nonzero_3_by_3_determinant
G10	Killing_value_reduction	invariant_gradients_force_X_parallel_K
G11	Killing_isotropy_reduction	invariant_covectors_force_residual_one_jet_zero
G12	Killing_continuation	zero_one_jet_implies_zero_connected_Killing_field
G13	nonzero_clock_twist	a_times_kappa_nonzero
G14	twist_ruler_alignment	star_Kflat_wedge_dKflat_parallel_theta1
G15	founded_reciprocal_weights	exp_minus_phi_clock_exp_plus_phi_ruler
G16	single_all_gate_witness	all_required_gates_in_same_candidate
G17	controls	twist_off_and_depth_off_fail_expected_gates
G18	no_lambda_or_profile_selection	existence_not_promoted_to_physical_preference
G19	semantic_scope	endpoint_path_and_operational_access_not_selected
G20	configuration_scope	not_called_on_shell_stable_or_dynamical
