path	git_blob	sha256
CURRENT_SCIENTIFIC_PREMISES.md	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491
CURRENT_SCIENTIFIC_PREMISES.tsv	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
LIVE.md	42b987061b1af2ba1f29cf99ab0dd8beee6a1523	ae3d6fc0e5595aa634746c6e765b84018faed4201a000f0f9f838e5d7efe5936
HANDOFF.md	ea31c7f1887e199a808ff5f12a43f8c59bb214b8	c629ace49d9ab8d0df5d94dbc35828a555a79b5dd7f4fd2da1a74cc4a1d6ca7a
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	1e57f8e45b997bd4fff376fdea63286360949e86	62bbe219448f4eb797b2fd46ab14ed861f41da94c5ceb8ad7092c5722aa77cf4
copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	25ee26679a881397c6a4e9ff2713a023b74b88c8	5f3d9472388e9012af2b63d548bfbf91808a800b016d6c8e31be85dea6c2e2f0
copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv	f268ecdfe3355f7f279b4071fe8f8071e658d5eb	1179529aacf4ffeec576a982d71ea4753e4432ce4eda13e2b0467a19de2ab283
udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	e8f39081b60f02879693b89c66d27af9160e4547	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730
udt_founding_observer_comparison_semantics_audit_2026-07-27/STATUS_LEDGER.tsv	3d41a9c710832b6b6009e0973c3545dbbdfc6155	a2fa970ddfc080a411d635dfb20cce58e83c1fbe3a60bd571f2bbeda5f7ce4aa
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/PREREGISTRATION.md	5d9f2aa364224339af4b71ecd584ef7ea67ce93b	9e793804871a5f876007d317650f20bc740f81a86b783a7ad0582fc574a5274d
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/AUDIT_REPORT.md	91f6f69cbe5267f6e12a0576c82153b53e223d84	1e007a15b7071ebe2be45ad2f81a19c4d39a3c0617fe5cf65064ab6e076a976d
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/EXACT_DERIVATION.md	98d15cf3060d34d238b8528bfaa8a0cab81e7493	36e22610ec03dc4421e005f0a327be288cde000fb5fa63f4d8ea9cec3711875d
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/STATUS_LEDGER.tsv	a88cf660e6b950399f32e118dd34266121cbd678	27cfba2fff04b761c041b2e9c2a6bc38b560c97262262ea81a4144365a0e8944
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27/NEXT_STEP.md	53eeba059cd0748121e6a2400244fa539d6a714a	a75b4444b15e3fd7aa60c52aedc805d766f937c54b69963bf805f0ce7122ed05
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	b87950c680d61cfcb34dda1f37644b36277cc609	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88
udt_metric_native_signed_depth_availability_audit_2026-07-26/EXACT_DERIVATION.md	28470d698c41ab5dd6579f8ea577859f64d3fcd2	ee62cc854262baddbd1f9187752233caa3a854d5df10f51acd7e04bb1e4a2fae
