gate_id	status	evidence	remaining_scope
G01	PASS	source_manifest_17_of_17	none
G02	PASS	exact_four_premise_stamps	interpretive_not_dynamical
G03	PASS_EXACT	quaternion_norm_coframe_determinant_and_kappa	global_topology_not_selected
G04	PASS_EXACT	coframe_and_metric_determinants	all_finite_phi_in_family
G05	PASS_EXACT_GLOBAL	profile_bound_and_1_over_4096_gate	frozen_candidates
G06	PASS_EXACT	K_stationary_and_norm_negative	frozen_family
G07	PASS_C01_TO_C07_NONTRIVIAL	C08_depth_off_control	physical_profile_open
G08	PASS_EXACT	full_four_metric_curvature_contractions	three_registered_scalars
G09	PASS_C01_TO_C07_EXACT_RANK_THREE	C08_rank_zero	full_profile_family_open
G10	PASS_EXACT	common_kernel_equals_span_K	certificate_event
G11	PASS_EXACT	g_skew_image_in_timelike_line_forces_zero	first_jet
G12	PASS_EXACT	Jacobi_Killing_transport_connected_continuation	connected_configuration
G13	PASS_C01_TO_C06	C07_twist_off_control	C08_has_no_depth
G14	PASS_C01_TO_C06	parent_twist_formula_with_kappa_minus_2	unoriented_ruler_line
G15	PASS_BY_CONFIGURATION	exp_minus_phi_and_exp_plus_phi	physical_selection_open
G16	PASS_C01_TO_C06	all_required_gates_same_candidate	on_shell_selection_open
G17	PASS	C07_and_C08_fail_expected_distinct_gates	none
G18	PASS	six_lambda_values_pass_and_profile_stamped_free	selector_open
G19	PASS	endpoint_path_and_instant_access_false_or_open	complete_semantics_open
G20	PASS	configuration_not_called_solution_or_dynamics	complete_physics_open
