item	status	claim	limit
covariant_null_clock_arrow	DERIVED_CONDITIONAL	r=-(sigma_a.U_A)/(sigma_ap.U_B)=(k_A.U_A)/(k_B.U_B)=omega_A/omega_B	one_supplied_unique_regular_null_branch
affine_normalization	VERIFIED_LOCAL_EXACT	common_affine_rescaling_cancels	branch_tangent_nonzero
timelive_triangular_arrow	DERIVED_CONDITIONAL	r=Cplus_B/Cplus_A_with_Cplus=A-Nbeta	functions_time_only_fixed_x_observers_right_branch
completed_clock_leg_compatibility	COMPATIBILITY_IDENTITY	T_B=r_and_Phi=-log_r_on_same_correspondence	G176_working_full_pair_plane_not_constructed_here
moving_flat_control	EXACT_CONTROL	r=exp_eta	G219_inertial_scope
primary_static_control	EXACT_CONTROL	r=exp(phi_A-phi_B)	static_spatial_profile
conformal_timelive_control	EXACT_CONTROL	r=exp(Omega_B-Omega_A)	time_only_conformal_control
affine_ruler_shift_control	EXACT_CONTROL	r=exp((a1-s)L)	positive_Cplus_branch
inverse_vs_return	VERIFIED_LOCAL_EXACT	later_return_uses_Cminus_and_is_not_generic_outgoing_inverse	separate_later_event_map
protocol_ownership	OPEN	null_is_a_metric_native_causal_query_not_universal_positional_owner	founding_sources_do_not_select_query_population
full_dynamic_orchestra	OPEN	angular_screen_mixing_Jacobi_and_full_pair_plane_not_entered	G220_is_one_bounded_tile
external_review	VERIFIED_AFTER_REPAIRS	fresh_zero_context_review_retained_core_and_accepted_all_preregistered_repairs	bounded_caveats_retained
