pair_id	lane_id	realization_id	bulk_status	boundary_selector_status	extra_field_status	global_status	P06_ready
L01_C01	L01	C01	METRIC_BULK_EQUATION_COMPLETE_BOUNDARY_OPEN	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	METRIC_ONLY_DECLARED	UNEVALUATED_OPEN	NO
L01_C02	L01	C02	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L01_C03	L01	C03	INCOMPLETE_COFRAME_VARIATION_AND_EQUIVALENCE_UNBUILT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L01_C04	L01	C04	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L01_C05	L01	C05	INCOMPLETE_CONSTRAINT_VARIATION_DOMAIN_UNSELECTED	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L01_C06	L01	C06	INCOMPLETE_BRIDGE_OPERATOR_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L01_C07	L01	C07	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C01	L02	C01	FORMAL_METRIC_BULK_EQUATION_COMPLETE_REPRESENTATIVE_AND_BOUNDARY_OPEN	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	METRIC_ONLY_DECLARED	UNEVALUATED_OPEN	NO
L02_C02	L02	C02	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C03	L02	C03	INCOMPLETE_COFRAME_VARIATION_AND_EQUIVALENCE_UNBUILT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C04	L02	C04	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C05	L02	C05	INCOMPLETE_CONSTRAINT_VARIATION_DOMAIN_UNSELECTED	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C06	L02	C06	INCOMPLETE_BRIDGE_OPERATOR_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L02_C07	L02	C07	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	PARTIAL_NATIVE_DATA_MULTIPLE_COMPLETIONS	EXTRA_FIELD_EQUATION_OR_ROLE_OPEN	UNEVALUATED_OPEN	NO
L03_C01	L03	C01	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C02	L03	C02	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C03	L03	C03	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C04	L03	C04	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C05	L03	C05	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C06	L03	C06	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
L03_C07	L03	C07	EXCLUDED_NO_OPERATOR_TO_VARY	EXCLUDED_NO_BULK_OPERATOR	NO_OPERATOR	UNEVALUATED_OPEN	NO
