id	role	path	sha256	use
SRC01	CANON	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	immutable authority premise regression or prior adjudication
SRC02	COLD_PACKET	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	immutable authority premise regression or prior adjudication
SRC03	CSN	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	immutable authority premise regression or prior adjudication
SRC04	BOOTSTRAP	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	immutable authority premise regression or prior adjudication
SRC05	XMAX	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	bd82e07c252fa3aa055e9e4029b964f8a4e415fd50097dd5cec8a6ba928850a1	immutable authority premise regression or prior adjudication
SRC06	P05_MANIFEST	udt_full_equation_variation_p05_2026-07-21/SHA256SUMS.txt	5c26d4eb97c4dc370e286469c63d662f182a71a94a6e6899131fd6706c4e7f2e	immutable authority premise regression or prior adjudication
SRC07	P05_RESULT	udt_full_equation_variation_p05_2026-07-21/OPERATOR_RESULT.json	266a92253844ade86716d421f12831f7a44e8b377d5ebcfc0b1a0fee0b63aab3	immutable authority premise regression or prior adjudication
SRC08	P05_FIELDS	udt_full_equation_variation_p05_2026-07-21/FIELD_EQUATION_COMPLETENESS.tsv	dcf7ea4d8722cf473ece98e54b1b3a43dfc70270fbf4d11072f33925403126c1	immutable authority premise regression or prior adjudication
SRC09	C2_BOUNDARY_MANIFEST	c2_finite_cell_boundary_variation_2026-07-20/SHA256SUMS.txt	2be362cd50cc5102960cb6a1e8745196cad956799b851c3e71a212b01d70d83e	immutable authority premise regression or prior adjudication
SRC10	C2_BOUNDARY_RESULT	c2_finite_cell_boundary_variation_2026-07-20/DERIVATION_RESULT.json	2c3055c5905b49a6c5c42e1744ac1547eb2066a45e3255cbc6abf4344e2df7d0	immutable authority premise regression or prior adjudication
SRC11	SEAL_JOIN_MANIFEST	finite_cell_seal_boundary_phase_join_2026-07-20/SHA256SUMS.txt	704b084548a212eabcfb1ac051e89234a7fd91bbeaf7f70abcc28bf63edc7a3b	immutable authority premise regression or prior adjudication
SRC12	SEAL_JOIN_RESULT	finite_cell_seal_boundary_phase_join_2026-07-20/DERIVATION_RESULT.json	aa8139f6fe65bd7681786f17ad9d19bd166267d22b0dcfe7af0cbe5747e4e9ee	immutable authority premise regression or prior adjudication
SRC13	COFRAME_MANIFEST	complete_coframe_seal_involution_2026-07-20/SHA256SUMS.txt	87d43cb281d236111a8baec4fe7da5686a8043931e6ba0a2715228f7d61f483e	immutable authority premise regression or prior adjudication
SRC14	COFRAME_RESULT	complete_coframe_seal_involution_2026-07-20/DERIVATION_RESULT.json	a0579b3785ff1bccef888a3ace186af8668a189aa802a238e9017adc8d72a3d0	immutable authority premise regression or prior adjudication
SRC15	REPRESENTATIVE_MANIFEST	boundary_bootstrap_representative_selector_audit_2026-07-19/SHA256SUMS.txt	6cd896586dda87b8e9794818c34ccb392a2f5a004e7d88ba8e288db57e50c6c3	immutable authority premise regression or prior adjudication
SRC16	GENERATOR_MANIFEST	native_boundary_generator_scale_audit_2026-07-19/SHA256SUMS.txt	39d335fbbc0367f206d77173f72d4b4485145dd0cb42aacc8c4491656e6d287c	immutable authority premise regression or prior adjudication
SRC17	SURFACE_MANIFEST	asymptotic_boundary_lineage_audit_2026-07-19/SHA256SUMS.txt	3841492810a553cc07ae3107cc10c3c5584547db5dcb87757e377ebcdb335afb	immutable authority premise regression or prior adjudication
