id	lane	boundary_regime	allowed_or_fixed_data	required_natural_equations_or_completion	mathematical_status	UDT_selection_status	scope_limit
W01	L01	fixed_non_null	delta_phi=0; common_scale angular offdiagonal delta_h free; all delta_K free	E_TF=0 plus Pi_h projections on every free h tangent and corner rule	COMPATIBLE_ALLOWED_VARIATION_WITNESS	NOT_SELECTED	non_null Gaussian diagnostic; adds no fixed normal jet
W02	L01	fixed_non_null	delta_phi=0; transverse shape and offdiagonal h fixed; common_scale h free; all delta_K free	E_TF=0 plus remaining Pi_h projection and corner rule	COMPATIBLE_INEQUIVALENT_WITNESS	NOT_SELECTED	adds unforced transverse choices but preserves every supplied clause and free normal jet
W03	L01	fixed_non_null	delta_h=0 and delta_K=0	bare current vanishes on clamped tangent	COMPARISON_ONLY_CLAMPED_WITNESS	NOT_COMPATIBLE_IF_RECIPROCAL_NORMAL_JET_FIXED	cannot be inferred from mirror; would remove canonically free phi-prime variation
W04	L01	fixed_non_null	delta_K=0; delta_h free	Pi_h projection=0 plus corner rule	COMPARISON_ONLY_COMPLEMENTARY_WITNESS	NOT_COMPATIBLE_IF_RECIPROCAL_NORMAL_JET_FIXED	non_null Gaussian diagnostic; not a founded UDT boundary
W05	L01	pre_scale_conformal_class	pure common-Weyl tangent retained	bare C2 potential is null on pure common-Weyl variation	CONDITIONAL_CSN_NULL_WITNESS	NOT_A_SECTION_OR_COMPLETE_POLARIZATION	does not govern tracefree angular normal or corner slots
W06	L02	fixed_non_null	delta_h=0 and normal_delta_h=0	bare EH raw current vanishes on clamped first jet	COMPARISON_ONLY_CLAMPED_WITNESS	NOT_COMPATIBLE_IF_RECIPROCAL_NORMAL_JET_FIXED	overfixed comparison witness; cannot follow from mirror wording
W07	L02	fixed_non_null	delta_h=0	orientation-dependent GHY-like completion	STANDARD_COMPARISON_WITNESS	NOT_ADOPTED	post-scale metric branch; term and orientation imported for independence proof only
W08	L02	fixed_non_null	delta_phi=0; remaining induced-metric tangents free; normal jet free	GHY-like comparison completion plus momentum equations projected on free tangents	COMPATIBLE_INEQUIVALENT_COMPARISON_WITNESS	NOT_SELECTED	completion is not native; shows seal data do not uniquely imply full Dirichlet data
W09	L02	null_or_moving	UNSELECTED	null/moving boundary variables joints and normalization	OPEN_BRANCH	NOT_SELECTED	no non_null extrapolation
W10	L03	all	NONE	bridge action and fields absent	EXCLUDED_NO_BULK_OPERATOR	NONE	cannot define boundary variation without bridge operator
