id	path	locator	source_status	audit_use
S01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	Founding pair and honest conclusion	FOUNDATIONAL_CANDIDATE_PLUS_DERIVED_KINEMATICS	Supplies the internal reciprocal clock/ruler character but no transverse duplication theorem.
S02	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	Postulate and undecided list	FOUNDATIONAL_POSTULATE_LOCKED	Requires conformally natural selector data and leaves transport and derivative order open.
S03	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	Interpretation ledger	OWNER_STATED_WORKING_PRINCIPLE	Bootstrap is whole-solution admissibility and supplies no local two-pair or continuation equation.
S04	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Current checkpoint and carrier boundary	CURRENT_FRONTIER	Keeps physical representative transport carrier emergence action and source open.
S05	reciprocal_line_realization_selector_2026-07-18/DERIVATION_REPORT.md	Internal-to-spacetime type gap	VERIFIED_WITH_CAVEATS	The internal pair is not automatically a spacetime endomorphism.
S06	transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	Direct extension and transverse isotropy theorem	VERIFIED_WITH_CAVEATS	Direct faithful vector extension is transverse identity and scalar phi plus an isotropic screen cannot select axes.
S07	udt_gr_subtraction_reciprocal_connection_audit_2026-07-21/AUDIT_REPORT.md	Parent uniqueness and angular obstruction	IMMEDIATE_PARENT	Supplies unique-if-compatible transport theorem and conditional full two-pair static witness.
S08	udt_clock_ruler_soldering_selector_audit_2026-07-20/AUDIT_REPORT.md	Seal-local base soldering and orthogonal screen	VERIFIED_WITH_CAVEATS	Supplies the conditional base plane and metric-orthogonal positive screen including nonzero cross terms.
S09	udt_complete_lift_mu_closure_audit_2026-07-20/AUDIT_REPORT.md	Complete registered angular lift classes	VERIFIED_WITH_CAVEATS	Supplies plus/minus identity axis reflection and local Hopf exchange seal lifts and confirms none is selected.
S10	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	Global lift and cover status	VERIFIED_WITH_CAVEATS	Global coframe continuation cover and cap remain open.
S11	metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	Metric connection and holonomy scope	VERIFIED_WITH_CAVEATS	Curvature follows per metric but does not select a reduction; holonomy reduction is an open global gate.
S12	projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	Propagation versus selection	VERIFIED_WITH_CAVEATS	Transport can propagate supplied data but does not choose the initial section or physical connection.
S13	c2_angular_reduction_selector_2026-07-20/AUDIT_REPORT.md	Conditional round compact product slice	VERIFIED_WITH_CAVEATS	Round angular shape can be selected only inside a conditional C2 compact-product branch and supplies no reciprocal axes.
S14	c2_intrinsic_angular_product_selector_2026-07-20/AUDIT_REPORT.md	Intrinsic angular curvature and directional screen data	VERIFIED_WITH_CAVEATS	Scalar curvature does not replace directional screen connection and continuous branches remain.
S15	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	Carrier and stability premise boundary	VERIFIED_WITH_CAVEATS	Hopfion is a diagnostic only; carrier action box and boundary remain conditional.
S16	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	Conditional toric and cap theorem	VERIFIED_WITH_CAVEATS	Periods toric spatial slots caps and global topology are not current selector inputs.
S17	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	Finite-cell seal authority	VERIFIED_WITH_CAVEATS	Seal supplies limited boundary parity and no bulk angular transport or boundary dynamics.
S18	udt_metric_native_two_pair_selector_audit_2026-07-21/PREREGISTRATION.md	Whole file	FROZEN_PREREGISTRATION	Freezes candidate census selector requirements falsifiers and maximum conclusion.
