criterion	coverage	what_was_tested	what_remains_open
fields	BOUNDED	conformal metric conditional phi gradient Hessian curvature screen seal and reciprocal endomorphisms	native spacetime realization higher fields and matter
natural_candidate_order	THROUGH_SECOND_METRIC_DERIVATIVES	metric orientation gradient Hessian Ricci Weyl-style eigensplitting and holonomy centralizer	higher jets nonlocal spectra and unknown future metric concomitants
seal_classes	COMPLETE_REGISTERED_CLASS	plus identity minus identity axis reflection and local Hopf exchange	field-dependent and globally selected complete lift
cross_coupling	TWO_EXACT_NONZERO_WITNESSES	axis-reflection mu 4 and mu 9 complete cross blocks	all function-valued cross blocks and dynamics
degenerate_strata	EXPLICIT	flat zero-Hessian isotropic repeated-axis and round-screen cases	all singularities and topology changes
connection	BOUNDED	torsion-free conformal unique-if-compatible class and holonomy integrability	torsion non-Weyl nonmetricity and native transport law
global_domain	DIAGNOSTIC_ONLY	round S2 Euler obstruction flat torus control and path-holonomy condition	selected cover caps periods and complete finite-cell topology
action_and_variation	NOT_COVERED	no action or field equation used	complete bulk boundary matter action and source
dynamics	NOT_COVERED	no time evolution or relaxation	time-live coframe topology and stability
physical_scale_and_matter	NOT_COVERED	Hopfion used only after-the-fact diagnostic	carrier emergence mass scale charge and canonization
