id	layer	claim	status	basis	limit
S01	ACTION	metric-only four-dimensional C2 bulk	UNIQUE_CONDITIONAL	unchanged action premise	not complete UDT action
S02	DOMAIN	reciprocal-toric finite coefficient tile	CONDITIONAL_CANDIDATE_PREMISE	same frozen search family	unrestricted metric and boundary open
S03	METHOD	H(q,lambda)=F(q)-lambda F(q0)	NUMERICAL_CONTROL	artificial continuation	lambda is not physical time or depth
S04	INPUT	parent PATH_TIME_LIMIT identities	OBSERVED_22_FROZEN	exact parent hash and identity set	only the registered open set
S05	COVERAGE	checkpoint continuations returned	OBSERVED_22_OF_22	complete bounded return	finite time arclength and safety walls
S06	REDUCED_ENDPOINTS	paths reaching reduced F(q)=0	OBSERVED_7	endpoint raw residual below 1e-9	reduced equation only
S07	ROUND_ENDPOINT	endpoint surviving higher projection	OBSERVED_1_ROUND	round norm and denser projection pass	finite tile only
S08	NONROUND_REDUCED	nonzero reduced endpoints	OBSERVED_6_ARTIFACTS	all higher projections fail	not full stationary metrics
S09	FULL_BACH	nonround promotion gate	OBSERVED_6_FAIL	32 and 64 node full Bach residuals exceed 1e-6	boundary completion remains open
S10	OPEN	time or safety limited paths	OBSERVED_15_OPEN	11 time 2 lambda 2 coefficient	not no-solution evidence
S11	LOOPS	registered closed homotopy witnesses	NOT_OBSERVED	zero loop witnesses	loop absence bounded by trace
S12	CUMULATIVE	registered starts with certified round endpoints	OBSERVED_177_OF_198	176 prior plus one new	not a uniqueness theorem
S13	NONROUND	full-Bach nonround endpoints	NOT_OBSERVED	all six apparent endpoints rejected	outside tile remains open
S14	HOPFION	nonround full 3D carrier texture	PRIOR_CONDITIONAL_OBSERVATION	separate frozen particle-lane evidence	not produced by this metric solve
S15	ANGULAR_SECTION	native metric-to-Hopf angular section or framing	OPEN	not varied by this solver	highest-priority zoom-out seam
S16	MATTER	carrier source backreaction scale mass	OPEN_NOT_ENTERED	dimensionless metric-only computation	no matter-action conclusion
S17	PACKAGE	evidence grade	VERIFIED_WITH_CAVEATS	preregistered full saved-state return and independent replay	no fresh external-model review
