id	premise	provenance	use_in_audit	status_or_scope
P01	reciprocal positive pair and exponential character	pinned-by-THEORY with dual-pairing composition regularity sign/unit premises	defines D=exp(-phi)	DERIVED_CONDITIONAL
P02	finite measured c_E	OWNER_LOCKED_OBSERVATIONAL_ANCHOR	ordinary clock-length calibration	OBSERVED_NOT_THEORY_DERIVED
P03	signed local phi(p)	OWNER_LOCKED_FOR_CURRENT_AUDIT	explores both reciprocal wings	physical observer map OPEN
P04	physical distance nonnegative	OWNER_LOCKED_FOR_CURRENT_AUDIT	kept distinct from phi and sigma	RETAINED
P05	local Lorentzian quadratic readout	POSIT/CHOSE_DECLARED_READOUT	supplies metric causal diagnostic	CONDITIONAL
P06	physical CSN representative	CHOSE for each metric control	needed for clock and proper-length comparison	NOT_SELECTED_GLOBALLY
P07	macro observational-frame Reciprocity	OWNER_FOUNDING_CLARIFICATION with verified tensor compatibility	reversal and coordinate checks	micro inheritance OPEN
P08	co-presence	WORKING owner interpretation	semantic compatibility only	NO_ACCESS_LAW_INFERRED
P09	microscopic sigma->0 family	free-and-explored	formal characteristic-regime limit	NO_NUMERICAL_SCALE
P10	sigma-to-phi map	free-and-explored via D=sigma^-p	asymptotic catalogue	PHYSICAL_MAP_OPEN
P11	F threading	free-and-explored via F~D^alpha	all asymptotic classes retained	NOT_SELECTED
P12	angular/spatial line element	free-and-explored positive H and paths	uniform and nonuniform connector tests	COMPLETE_SHAPE_OPEN
P13	shift	free-and-explored signed B	one-way and roundtrip classes	NOT_SELECTED
P14	stationarity/one-dimensional connector;time orientation;Eulerian ordinary-anchor congruence;slicing	chosen exact classification control	defines anchor/path comparison	NOT_COMPLETE_3PLUS1_OR_SELECTED_OBSERVER_MECHANICS
P15	information propagation	absent	metric causal accessibility only	OPEN_NOT_INSERTED
P16	action source carrier boundary mass quantum premise	absent	no role	OPEN_OR_PROHIBITED_AS_INPUT
