catch	result
wrong_base	PASS_REJECTED
missing_production_check	PASS_REJECTED
failed_production_check	PASS_REJECTED
local_rate_mutation	PASS_REJECTED
proper_coordinate_merge	PASS_REJECTED
mutual_ratio_not_unity	PASS_REJECTED
endpoint_sufficiency_promotion	PASS_REJECTED
whole_connector_removed	PASS_REJECTED
shift_dependence_removed	PASS_REJECTED
angular_weight_removed	PASS_REJECTED
F_threshold_removed	PASS_REJECTED
diagnostic_split_removed	PASS_REJECTED
information_promoted	PASS_REJECTED
physical_law_promoted	PASS_REJECTED
spherical_center_reintroduced	PASS_REJECTED
c_E_provenance_promoted	PASS_REJECTED
Lorentzian_readout_omitted	PASS_REJECTED
sigma_typed_as_areal_radius	PASS_REJECTED
missing_source	PASS_REJECTED
corrupt_source_hash	PASS_REJECTED
