id	claim	status	exact_scope_or_premises	not_claimed
S01	reciprocal diagonal metric has two algebraic wings D=exp(-phi)->infinity and D->0	DERIVED_CONDITIONAL	dual Reciprocity plus composition/readout/representative/sign premises	physical micro and cosmological assignments
S02	local orthonormal metric-null clock/ruler ratio remains c_E	DERIVED_CONDITIONAL	finite positive Lorentzian metric and supplied local frame	material propagation law
S03	uniform static zero-shift connector has proper-distance/ordinary-anchor rate c_E*N	DERIVED_CONDITIONAL	supplied stationary anchor slicing connector and N0 normalization	preferred frame
S04	F=1 reciprocal control gives proper rate c_E*D and coordinate rate c_E*D^2	DERIVED_CONDITIONAL_EXACT_CONTROL	recorded diagonal realization	complete time-live 3+1 law
S05	F~D^alpha with alpha>-1 gives zero outer and infinite micro proper-rate wings	DERIVED_CONDITIONAL_ASYMPTOTIC_CLASS	uniform zero-shift connector and ordinary anchor	current UDT selects alpha
S06	current foundation forces the two-ended physical regime law	REFUTED_AS_CURRENT_IMPLICATION_IN_BOUNDED_STATIONARY_CONNECTOR_CLASS	F shift full assembly connector and sigma-to-phi map unselected; exact counterclasses survive	hypothesis false or no future realization can select it
S07	both endpoint frames microscopic is sufficient	REFUTED_IN_STATIC_ZERO_SHIFT_PATH_CLASS	ordinary bottleneck exact harmonic-mean counterexample	no complete micro connector can diverge
S08	both frames and full connector uniformly microscopic can yield divergent anchor-relative accessibility	ADMISSIBLE_AND_DERIVED_CONDITIONAL_PATH_THEOREM	infimum N on connector tends to infinity	physical existence or realization
S09	two equal-regime micro clocks compare at unit rate	DERIVED_CONDITIONAL	N_A=N_B in static zero-shift stationary-clock comparison	ordinary-anchor accessibility is unity or shifted observer choices agree
S10	angular geometry cancels from a uniform-lapse proper-rate ratio	DERIVED_CONDITIONAL_PATH_IDENTITY	positive supplied spatial path metric	angular sector irrelevant globally
S11	angular geometry weights a nonuniform connector and chooses available paths	DERIVED_CONDITIONAL_PATH_IDENTITY	supplied static zero-shift spatial metric	complete angular realization
S12	shift can preserve cancel or reverse an anchor-relative one-way limit	DERIVED_CONDITIONAL_CLASSIFICATION	general stationary effective connector	selected UDT shift
S13	large or spatially varying D is intrinsically curvature singular	REFUTED_IN_NONCENTRAL_PLANAR_CONTROL	constant reciprocal plateau is flat; F=1/D gives R=0 for arbitrary smooth positive D	global transition or fixed-chart limiting metric regular
S14	ordinary-to-micro transition regularity	OPEN_PROFILE_AND_COMPLETE_GEOMETRY_DEPENDENT	planar exact profiles show width-dependent bounded and divergent classes	angular sectors can never select it
S15	prior regular spherical-center no-go refutes micro reflection	REFUTED_AS_SCOPE_APPLICATION	areal R->0 is not characteristic sigma->0	prior center algebra invalid
S16	physical sigma-to-phi/F/shift map	OPEN_SCALE_AND_REALIZATION_JOIN	no native scale or complete assembly	formal family impossible
S17	actual near-infinite information transfer	OPEN_NOT_TESTED	metric causal accessibility only	quantum explanation
S18	audit grade	VERIFIED_WITH_CAVEATS	41/41 production;44/44 independent Fraction/tensor;20/20 catches;fresh source and mathematical adversaries;bounded stationary controls	canon or complete physical regime law
S19	all positive threading functions have a reciprocal-wing limit	REFUTED_IN_BOUNDED_FUNCTION_CLASS	F=D^-1*(2+sin(log D)) gives a positive oscillatory proper rate	future realization cannot select a convergent class
