id	metric_or_regime_class	fixed_inputs	local_orthonormal_rate_over_c_E	proper_distance_over_anchor_time_rate_over_c_E	coordinate_rate_over_c_E	mutual_clock_ratio	regularity_or_path_fact	status	missing_or_not_implied
A01	FINITE_POSITIVE_STATIONARY_CONNECTOR	N>0;H>0;supplied B	1	N relative to anchor only after protocol	-B+/-N/H	N_A/N_B	metric determinant -c_E^2*N^2*H^2	DERIVED_METRIC_IDENTITY	material signal law or complete UDT assembly
A02	ORDINARY_CONTROL	D=1;F=1;B=0;N0=1	1	1	1	1	flat reciprocal block control	DERIVED_CONDITIONAL_CONTROL	exact physical tolerance or global regime map
A03	MICRO_RECIPROCAL_CONTROL	D->infinity;F=1;B=0;whole connector at constant D	1	D->infinity	D^2->infinity	1 for two equal-D frames	constant noncentral plateau is flat for every finite D	DERIVED_CONDITIONAL_ASYMPTOTIC_CLASS	physical sigma-to-phi map and complete assembly
A04	OUTER_RECIPROCAL_CONTROL	D->0;F=1;B=0;whole connector at constant D	1	D->0	D^2->0	1 for two equal-D frames	formal reciprocal wing	DERIVED_CONDITIONAL_ASYMPTOTIC_CLASS	selected cosmological endpoint
A05	THREADING_ALPHA_GT_MINUS_ONE	F~D^alpha;alpha>-1;B=0	1	D^(alpha+1): infinity micro and zero outer	D^(alpha+2): infinity micro and zero outer	1 in equal regime	three asymptotic classes retained	DERIVED_CONDITIONAL_ASYMPTOTIC_CLASS	current UDT does not select alpha
A06	THREADING_ALPHA_EQ_MINUS_ONE	F~D^-1;B=0	1	1 on both wings	D: infinity micro and zero outer	1 in equal regime	proper and coordinate diagnostics disagree	DERIVED_CONDITIONAL_COUNTERCLASS	coordinate slope is not proper-distance rate
A07	THREADING_MINUS_TWO_LT_ALPHA_LT_MINUS_ONE	F~D^alpha;-2<alpha<-1;B=0	1	zero micro and infinity outer	infinity micro and zero outer	1 in equal regime	opposite proper classification despite desired coordinate classification	DERIVED_CONDITIONAL_COUNTERCLASS	cannot merge coordinate and proper rates
A08	THREADING_ALPHA_LE_MINUS_TWO	F~D^alpha;alpha<=-2;B=0	1	reversed or vanishing micro behavior	finite or reversed coordinate behavior	1 in equal regime	valid positive metric controls for finite D	DERIVED_CONDITIONAL_COUNTERCLASS	Reciprocity does not select F
A09	MICRO_ENDPOINTS_ORDINARY_CONNECTOR	two micro endpoint neighborhoods;finite ordinary middle	1	finite harmonic-mean limit	path dependent	endpoint ratios depend on chosen frames	endpoints do not determine the path integral	ENDPOINT_SUFFICIENCY_REFUTED_IN_STATIC_ZERO_SHIFT_CLASS	complete connector regime
A10	ONE_MICRO_ONE_ORDINARY_EQUAL_LENGTHS	half connector N=D;half N=1;D->infinity	1	2	path dependent	D relative clock ratio	ordinary bottleneck remains	DERIVED_CONDITIONAL_MIXED_CONTROL	general path profile
A11	UNIFORM_MICRO_CONNECTOR	infimum N on full connector ->infinity;zero shift	1	weighted harmonic mean ->infinity	chart dependent	endpoint clocks may still compare as 1	positive angular/path weights do not remove uniform divergence	DERIVED_CONDITIONAL_PATH_THEOREM	physical existence and selection
A12	BOUNDED_SHIFT_FRACTION	B=s*N/H;abs(s)<1 bounded away from 1	1	one-way N*(1-/+s);roundtrip N*(1-s^2)	shift dependent	reversal swaps one-way branches	N scaling survives	DERIVED_CONDITIONAL_SHIFT_CLASS	complete UDT shift law
A13	NEAR_NULL_SHIFT_CANCELLATION	H*B=N-1 on one branch	1	forward branch exactly 1 while N may diverge	shift dependent	reverse branch differs	valid algebraic supplied-metric control	DERIVED_CONDITIONAL_COUNTERCLASS	current UDT does not select shift asymptotics
A14	PLANAR_FIXED_WIDTH_TRANSITION	A=1+(D^2-1)*(3y^2-2y^3);fixed w	1	profile dependent	profile dependent	not applicable	K at ordinary end=36*(D^2-1)^2/w^4 ->infinity	DERIVED_CONDITIONAL_SINGULAR_CLASS	full angular transition may differ
A15	PLANAR_WIDTH_PROPORTIONAL_D_TRANSITION	same A;w=D	1	profile dependent	profile dependent	not applicable	K at ordinary end ->36 in chosen units	DERIVED_CONDITIONAL_BOUNDED_CURVATURE_CONTROL	proper width and global completion not selected
A16	REGULAR_SPHERICAL_AREAL_CENTER	R->0;bounded curvature;areal angular completion	1	finite lapse required	chart control	not a two-frame regime limit	prior exact center theorem retained	REFUTED_ONLY_IN_PRIOR_BOUNDED_CENTER_CLASS	irrelevant to sigma->0 characteristic-regime hypothesis
A17	GENERAL_TIME_LIVE_3PLUS1	unselected reciprocal/angular/shift assembly	metric-local cone conditional	unselected	unselected	unselected	full connector and observer mechanics absent	OPEN_COMPLETE_ASSEMBLY	no universal two-ended physical law yet
A18	OSCILLATORY_THREADING	F=D^-1*(2+sin(log D));B=0	1	positive but has no wing limit	D*(2+sin(log D))	1 in equal regime	valid finite-D reciprocal metrics; fixed-chart determinant follows F^2	DERIVED_CONDITIONAL_NO_LIMIT_CLASS	current UDT does not require a power limit
A19	VARIABLE_D_FLAT_COUNTERCLASS	arbitrary smooth positive D(lambda);F=1/D;B=0	1	1	D	1 in equal regime	proper-coordinate lapse n=F*D=1 gives R=0 exactly	DERIVED_CONDITIONAL_FLAT_COUNTERCLASS	fixed-chart determinant tends to zero on extreme wings
