[relax256uncon] RESTART from hopfion_arc_scripts_2026-07-05/prod_an256.npz: N 256->256, box L 6.0->6.0
[relax256uncon] ARRESTED-NEWTON N=256 L=6.0 h=0.0471 xi=1.0 kappa=1.0 seed=hopf ssize=1.6 dt=0.02 steps=400
[relax256uncon]   step     Ehat        E2        E4   E2/E4     |Q|  Rring core_w   w/h   arr
[relax256uncon]      0   286.52    143.22    143.30   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     10   286.52    143.22    143.30   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     20   286.51    143.22    143.30   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     30   286.51    143.22    143.30   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     40   286.51    143.22    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     50   286.51    143.21    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     60   286.50    143.21    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     70   286.50    143.21    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     80   286.49    143.21    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]     90   286.49    143.20    143.29   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    100   286.48    143.20    143.28   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    110   286.48    143.19    143.28   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    120   286.47    143.19    143.28   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    130   286.46    143.19    143.28   0.999  0.9917  1.282  0.692 14.70 z=+0.02     0
[relax256uncon]    140   286.46    143.18    143.28   0.999  0.9917  1.282  0.692 14.70 z=+0.02     0
[relax256uncon]    150   286.45    143.17    143.27   0.999  0.9917  1.282  0.752 15.98 z=+0.02     0
[relax256uncon]    160   286.44    143.17    143.27   0.999  0.9917  1.282  0.752 15.98 z=+0.02     0
[relax256uncon]    170   286.43    143.16    143.27   0.999  0.9917  1.282  0.752 15.98 z=+0.02     0
[relax256uncon]    180   286.42    143.16    143.27   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    190   286.42    143.15    143.27   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    200   286.41    143.14    143.27   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    210   286.40    143.13    143.26   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    220   286.39    143.12    143.26   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    230   286.38    143.12    143.26   0.999  0.9917  1.282  0.692 14.70 z=-0.02     0
[relax256uncon]    240   286.37    143.11    143.26   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    250   286.36    143.10    143.26   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    260   286.34    143.09    143.26   0.999  0.9917  1.281  0.737 15.66 z=-0.02     0
[relax256uncon]    270   286.33    143.08    143.25   0.999  0.9917  1.281  0.737 15.66 z=-0.02     0
[relax256uncon]    280   286.32    143.07    143.25   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    290   286.31    143.06    143.25   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    300   286.30    143.05    143.25   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    310   286.28    143.04    143.24   0.999  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    320   286.27    143.03    143.24   0.998  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    330   286.25    143.01    143.24   0.998  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    340   286.24    143.00    143.24   0.998  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    350   286.22    142.99    143.23   0.998  0.9917  1.281  0.692 14.70 z=-0.02     0
[relax256uncon]    360   286.21    142.98    143.23   0.998  0.9917  1.281  0.692 14.70 z=+0.02     0
[relax256uncon]    370   286.19    142.96    143.23   0.998  0.9917  1.281  0.692 14.70 z=+0.02     0
[relax256uncon]    380   286.17    142.95    143.22   0.998  0.9917  1.280  0.692 14.70 z=+0.02     0
[relax256uncon]    390   286.16    142.94    143.22   0.998  0.9917  1.280  0.692 14.70 z=+0.02     0
[relax256uncon]    400   286.14    142.92    143.21   0.998  0.9917  1.280  0.692 14.70 z=+0.02     0
[relax256uncon]    400   286.14    142.92    143.21   0.998  0.9917  1.280  0.692 14.70 z=+0.02     0
[relax256uncon] FINAL Ehat=286.138 E2/E4=0.9980 |Q|=0.9917 Rring=1.280 core_w=0.692 w/h=14.70
[relax256uncon] CLASS=HOLDS+CONVERGED(->A candidate: Q~1, virial-balanced, localized ring)
