criterion	covered	dropped_or_open
FIELDS	metric_screen_tidal_operator_clock_rate_and_formal_native_mass_variation	no_complete_metric_phi_matter_field_set
ACTION_TERMS	source_availability_classified	no_complete_native_action
FULL_EQUATIONS	all_28_registered_equation_families_classified	no_new_full_Euler_system
DOMAIN_COORDINATES	invariant_observer_path_screen_form	arbitrary_four_manifolds_and_path_selection_open
BOUNDARY_REGULARITY	all_12_registered_completion_types	finite_cell_boundary_functional_open
TOPOLOGICAL_SECTOR	global_projector_descent_gate_retained	no_topology_selected
DYNAMICAL_CHARACTER	static_and_time_live_source_classes_retained	no_time_live_PDE_solve
BRANCH_BIFURCATION	registered_B19_WRL_Hopf_bootstrap_families_classified	no_density_response_branch_family_exists
STABILITY_SPECTRUM	not_activated	no_matter_filled_solution
REGIME_OF_VALIDITY	simple_screen_spectrum_and_regular_path_locality	full_solder_and_physical_density_window_open
