completion_id	complete_g_phi_matter_witness	density_response_argument	local_solder_gate_enforcement	global_descent_role	ruling
FC01_BOUNDARY_BOUNDARY	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC02_ONE_CAP_BOUNDARY	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC03_TWO_CAP_P0	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC04_TWO_CAP_P1	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC05_TWO_CAP_P_GT1	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC06_NONPRIMITIVE_CAP	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC07_PERIODIC_TORUS_BUNDLE	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC08_MIRROR_DOUBLE	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC09_NONORIENTABLE_GLUE	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC10_STRATIFIED_PROJECTOR	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC11_NONINTEGRABLE_DISTRIBUTION	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
FC12_RECIPROCAL_TORIC_DIAGONAL	NO	ABSENT	CANNOT_ADDRESS	CONDITIONAL_ON_SUPPLIED_PROFILE_AND_GLUE	COMPLETION_TYPE_NOT_SIMULTANEOUS_BOOTSTRAP_SOLUTION
