id	object	status	evidence_or_scope
S01	owner_bootstrap_narrow_density_window	OWNER_STATED_WORKING	realized_solution_admissibility_no_center_or_width
S02	after_solution_bootstrap_local_EOM	NOT_PRESENT	predicate_has_no_off_shell_variation
S03	rho_tot_first_variation	DERIVED_EXACT	delta_rho_equals_delta_M_minus_rho_delta_V_over_V
S04	volume_only_screen_response	TRACE_ONLY_CANNOT_SELECT_LINE	tracefree_screen_variation_annihilates_delta_V
S05	native_mass_functional_and_variation	OPEN_ABSENT	final_action_and_density_audits
S06	screen_tidal_discriminant	DERIVED_EXACT	Delta_equals_tr_squared_minus_4det
S07	simple_screen_spectrum	DERIVED_SELECTION_DOMAIN	Delta_positive_gives_two_intrinsic_eigenlines
S08	clock_curvature_invariant	DERIVED_EXACT	det_T_plus_a_squared_I_equals_zero
S09	intrinsic_clock_matched_projector	DERIVED_CONDITIONAL_ON_SIMPLE_MATCH	P_clock_equals_I_minus_Q_over_tr_Q
S10	separate_screen_line_input	NO_LONGER_NEEDED_IF_SIMPLE_MATCH_HOLDS	match_selects_unique_kernel_line
S11	tidal_invariance_of_matched_line	AUTOMATIC_GIVEN_MATCH	T_P_clock_equals_minus_a_squared_P_clock
S12	parallel_line_condition	DERIVED_EXACT	commutator_T_DlambdaT_zero_on_simple_spectrum
S13	global_projector_descent	OPEN_REQUIRES_BRANCH_HOLONOMY	local_projector_not_global_section
S14	pointwise_generator_similarity	DERIVED_CONDITIONAL	K_equals_minus_a_squared
S15	full_path_connection_equivalence	OPEN	varying_a_requires_derived_connection_term_or_constant_rate
S16	complete_matter_bootstrap_effect_on_curvature	MATHEMATICALLY_POSSIBLE	native_anisotropic_delta_M_could_change_T
S17	current_bootstrap_effect_on_curvature	NOT_DERIVED	native_delta_M_and_varied_closure_absent
S18	B19_negative	EXACT_BRANCH_SCOPED_NOT_UNIVERSAL	round_positive_curvature_and_trivial_clock
S19	WRL_negative	EXACT_LOCAL_SCOPED_NOT_UNIVERSAL	round_positive_radial_curvature_and_varying_clock_profile
S20	registered_equation_family_census	COMPLETE_FOR_28_FAMILIES	zero_complete_simultaneous_gate_witnesses
S21	registered_completion_census	COMPLETE_FOR_12_FAMILIES	zero_complete_g_phi_matter_density_response_witnesses
S22	complete_simultaneous_bootstrap_architecture	OPEN_NOT_REGISTERED	local_fields_metric_boundary_and_global_variation_required
S23	physical_density_window	OPEN_NO_SCAN_DEFINED	no_density_response_equation_or_normalization
S24	intrinsic_irreducible_solder	OPEN_BOOTSTRAP_COULD_ADDRESS	no_current_complete_witness_or_path_connection
S25	action_source_carrier_boundary_mass_scale	OPEN_UNCHANGED	no_promotion
S26	audit_grade	VERIFIED_WITH_CAVEATS	preregistered_exact_independent_stdlib_replay_no_fresh_external_context
