source_id	path	role	size	sha256
S01	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	owner_bootstrap_semantics	2693	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540
S02	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	action_source_boundary_scope	11945	71ed06c21c3ef683d0579f2a883584b4f612de4f1b09e16300702b204d437eda
S03	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	action_source_status	8676	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd
S04	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	bootstrap_placement	11789	05a84a7bfeca3d78c628a3a6a343463db11497d66c5889ac0590655728d056f9
S05	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	bootstrap_placement_status	3832	d271b483a02e0732bbab7f597b59827810586894ea29a8717f3cfff3c87949e6
S06	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	phi_angular_selector	11250	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0
S07	bootstrap_csn_phi_angular_selector_2026-07-19/CANDIDATE_OPERATOR.tsv	operator_candidates	2841	f59aaf5df032c77a62dc74490f59560e8dd080d9e850c6fc8a707e4299cac644
S08	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	selector_status	7141	487fc2b4fed1e47b11fbe1c61325787a8bdb743227a8133f06dadfb66fc0c2ee
S09	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	representative_boundary_selector	9439	5b9fd3563e02ecd8907e0ac632412e3bb1784893c1a66ff2812724f23c71d25d
S10	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	representative_status	2359	89896cd868883ebc8ba1cd6176119344c4f3d8dcb9ef6f0810e356c9e1e4e2e4
S11	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	boundary_variation	7345	6e9e21f806deb876e3fb63e815e0b0afd2434c8dc5c19686e8c6ab68dd9b8600
S12	c2_finite_cell_boundary_variation_2026-07-20/STATUS_LEDGER.tsv	boundary_variation_status	2117	a4ae851e08b79b52e8cecf4b1f3f7cefebe394c4a3110500a6b0871f7ee3737c
S13	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	seal_boundary_join	7349	783f8d369d73ab6faa2bd97b0e38654173173f886197cac38b688b6a459b7051
S14	finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv	seal_status	2807	41faee26d3722d2b429c4a68b79b6affb3a55b98938b8b7edcd09f371c982dce
S15	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	matter_scale_inventory	6791	521f6b1e80ea7d7cd1a3993fe4873f4b8dc5e4eee7f586924a5813bad78ac966
