source_id	path	role
S01	UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	owner_bootstrap_semantics
S02	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md	action_source_boundary_scope
S03	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	action_source_status
S04	bootstrap_variation_selector_2026-07-18/DERIVATION_REPORT.md	bootstrap_placement
S05	bootstrap_variation_selector_2026-07-18/STATUS_LEDGER.tsv	bootstrap_placement_status
S06	bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	phi_angular_selector
S07	bootstrap_csn_phi_angular_selector_2026-07-19/CANDIDATE_OPERATOR.tsv	operator_candidates
S08	bootstrap_csn_phi_angular_selector_2026-07-19/STATUS_LEDGER.tsv	selector_status
S09	boundary_bootstrap_representative_selector_audit_2026-07-19/AUDIT_REPORT.md	representative_boundary_selector
S10	boundary_bootstrap_representative_selector_audit_2026-07-19/STATUS_LEDGER.tsv	representative_status
S11	c2_finite_cell_boundary_variation_2026-07-20/AUDIT_REPORT.md	boundary_variation
S12	c2_finite_cell_boundary_variation_2026-07-20/STATUS_LEDGER.tsv	boundary_variation_status
S13	finite_cell_seal_boundary_phase_join_2026-07-20/AUDIT_REPORT.md	seal_boundary_join
S14	finite_cell_seal_boundary_phase_join_2026-07-20/STATUS_LEDGER.tsv	seal_status
S15	matter_bootstrap_dimensional_inventory_2026-07-20/AUDIT_REPORT.md	matter_scale_inventory
S16	matter_bootstrap_dimensional_inventory_2026-07-20/DIMENSIONAL_OBJECT_LEDGER.tsv	dimensional_objects
S17	matter_bootstrap_dimensional_inventory_2026-07-20/STATUS_LEDGER.tsv	matter_scale_status
S18	scale_breaking_closure_census_2026-07-20/AUDIT_REPORT.md	scale_closure
S19	scale_breaking_closure_census_2026-07-20/STATUS_LEDGER.tsv	scale_status
S20	udt_finite_cell_completion_atlas_2026-07-21/AUDIT_REPORT.md	completion_taxonomy
S21	udt_global_metric_assembly_atlas_2026-07-22/DENSITY_BOOTSTRAP_CIRCULARITY_LEDGER.tsv	density_routes
S22	udt_global_metric_assembly_atlas_2026-07-22/STAGE_GATE_LEDGER.tsv	assembly_gates
S23	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/AUDIT_REPORT.md	density_interface
S24	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/DENSITY_BRACKET.tsv	density_domain
S25	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/FINITE_CELL_BRANCH_ATLAS.tsv	completion_branches
S26	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/GLOBAL_SURVIVAL_THEOREMS.tsv	global_survival
S27	udt_finite_cell_reciprocal_survival_density_audit_2026-07-23/STATUS_LEDGER.tsv	density_status
S28	udt_center_free_observer_optical_correspondence_audit_2026-07-24/EQUATION_FAMILY_OPTICAL_SCREEN.tsv	equation_family_registry
S29	udt_center_free_observer_optical_correspondence_audit_2026-07-24/COMPLETION_OPTICAL_ATLAS.tsv	completion_registry
S30	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/AUDIT_REPORT.md	parent_solder_result
S31	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/EXACT_DERIVATION.md	parent_solder_algebra
S32	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/GENERATOR_MATCH_ATLAS.tsv	parent_generator_gates
S33	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/BRANCH_SOLDER_ATLAS.tsv	parent_branch_rulings
S34	udt_intrinsic_clock_transverse_solder_audit_2026-07-24/STATUS_LEDGER.tsv	parent_status
S35	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_frontier_scope
