family_id	family	screen_line	parallel_line	tidal_invariance	clock_curvature_match	global_descent	native_local_response	complete_simultaneous_closure	ruling
B01	Exact_C0_C1_foundation	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	NO_COMPLETE_GATE_WITNESS
B02	Final_native_action_adjudication	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	NO_COMPLETE_GATE_WITNESS
B03	P01_canonical_geometry_evaluator	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	NO_COMPLETE_GATE_WITNESS
B04	P02_local_jet_atlas	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B05	P03_founded_constraint_atlas	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B06	P03G_global_kinematic_assembly	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B07	P04_dynamics_branch_ruling	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B08	P05_full_equation_variation	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B09	Time_live_characteristic_flux	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B10	Free_global_seal_transversality	PERMITS	PERMITS	PERMITS	PERMITS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	LOCAL_OR_FORMAL_SPACE_NOT_SELECTION
B11	Finite_cell_completion_atlas	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B12	Complete_seal_fixed_set_selector	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B13	Complete_coframe_seal_involution	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B14	Complete_lift_mu_closure	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B15	Global_coframe_cocycle	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B16	Global_metric_assembly_atlas	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B17	Complete_connector_assembly	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B18	Angular_toric_closure	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
B19	Conditional_C2_Bach_route	FORBIDS_INTRINSIC_UNIQUE_LINE_BY_ROUND_ISOTROPY	PERMITS_ANY_SUPPLIED_LINE	ENFORCES_FOR_ANY_SUPPLIED_LINE	FORBIDS_NONTRIVIAL_MATCH	PERMITS_COMPLETE_PATH_FAMILY	CONDITIONAL_BACH_VACUUM_ONLY	NO	COMPLETE_TRANSVERSE_BRANCH_WITHOUT_CLOCK_SOLDER
B20	Conditional_EH_route	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_ONLY_AFTER_CONDITIONAL_EH_SOURCE	NO	NO_COMPLETE_METRIC_OR_NATIVE_SOURCE
B21	Macro_WRL_SNe_branch	FORBIDS_INTRINSIC_UNIQUE_LINE_IN_ROUND_RADIAL_SCREEN	PERMITS_RADIAL_CONTROL	PERMITS_RADIAL_CONTROL	FORBIDS_IN_LOCAL_PROFILE	CANNOT_ADDRESS_NO_GLOBAL_PAIR_GEOMETRY	CANNOT_ADDRESS	NO	LOCAL_SOURCE_FREE_FAILURE_ONLY
B22	Conditional_particle_Hopfion	PERMITS_CONDITIONALLY_FROM_CARRIER_PATTERN	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CONDITIONAL_CARRIER_NO_NATIVE_METRIC_SOURCE	NO	CARRIER_PATTERN_NOT_METRIC_NATIVE_BOOTSTRAP
B23	Bootstrap_selector_family	PERMITS_ONLY_IN_FUTURE_VARIED_FORM	PERMITS_ONLY_IN_FUTURE_VARIED_FORM	PERMITS_ONLY_IN_FUTURE_VARIED_FORM	PERMITS_ONLY_IN_FUTURE_VARIED_FORM	PERMITS_AFTER_COMPLETE_CLOSURE	OPEN_FUNCTIONAL_DERIVATIVE_ABSENT	NO	AFTER_SOLUTION_FORM_CANNOT_ENFORCE;VARIED_FORM_OPEN
B24	Reciprocal_pair_wall_module	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	NO_COMPLETE_GATE_WITNESS
B25	Time_live_spherical_numerical_branches	FORBIDS_UNIQUE_LINE_WITHIN_SPHERICAL_SCREEN	PERMITS_SYMMETRIC_CONTROL	PERMITS_SYMMETRIC_CONTROL	CANNOT_ADDRESS_WITHOUT_NATIVE_CLOCK_JOIN	CANNOT_ADDRESS	CONDITIONAL_NUMERICAL_BRANCH	NO	TIME_LIVE_SLICE_NOT_COMPLETE_BOOTSTRAP
B26	Legacy_pre_July_branches	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	NO	PROVENANCE_FIREWALL_NEGATIVE_USE_ONLY
B27	Intrinsic_object_Cartan_transport	PERMITS_WHERE_SIMPLE_SPECTRUM	ENFORCES_ONLY_AS_TESTED_CONDITION	ENFORCES_ONLY_AS_TESTED_CONDITION	ENFORCES_ONLY_AS_TESTED_CONDITION	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	INVARIANT_TESTS_NOT_FIELD_EQUATIONS
B28	Global_reciprocal_and_Hopf_realization	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	CANNOT_ADDRESS	PERMITS_CONDITIONALLY	CANNOT_ADDRESS	NO	GLOBAL_STRUCTURE_WITHOUT_LOCAL_SOURCE_RESPONSE
