item	status	role	open_or_forbidden
G249_positive_homothety_orbit	pinned-by-THEORY	bounded one-scale arena	no history or branch selected
G250_candidate_census_and_weights	pinned-by-THEORY	whole registered candidate set	no preferred candidate
metric_evaluators	pinned-by-THEORY-conditionally	proper interval Jacobi area volume and curvature evaluators	require supplied bounded objects
candidate_attachment_class	free-and-explored	audit variable	must not be chosen by usefulness
same_object_identity	OPEN	required ownership leg	must be source-cited not inferred from matching units
independent_absolute_calibration	OPEN	required ownership leg	no value or outcome may be read
metric_self_evaluation	CONTROL	noncircularity test	not an independent anchor
c_E_and_G_obs	OBSERVED	conversion and dimensional controls	no native placement law promoted
mass_density_energy_composites	CONDITIONAL_DIMENSIONAL_CANDIDATES	attachment-law test	dimensions do not own object identity or coefficient
history_query_branch	SUPPLIED_BOUNDED	condition of G249/G250	not selected or fitted
caustics_aggregation_transfer	OMITTED	outside attachment audit	remain open
observational_outcomes	CLOSED	blinding boundary	must not be inspected
X_max_action_source_bootstrap	OMITTED	outside question	must not be activated
protected_local_work	FORBIDDEN	preservation boundary	must not be inspected staged or cited
pinned_by_HABIT	NONE	anti-scaffolding gate	any discovered habit stops execution
