candidate	homothety_weight	metric_evaluator_owned	model_object_type	physical_same_object_attachment_owned	independent_absolute_calibration_owned	nonzero_weight_class	native_attachment_owned	classification	controlling_evaluator
c_E	NONE	False	conversion	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
G_obs	NONE	False	constant	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
c_E_plus_G_obs	NONE	False	constant_pair	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
phi_redshift_clock_ratio	0	False	dimensionless	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
causal_cones	0	False	dimensionless_structure	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
normalized_Jacobi_shape	0	False	dimensionless_shape	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
matched_proper_time_interval	1	True	proper clock interval	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G216
matched_length_or_Jacobi_amplitude	1	True	labelled regular Jacobi branch point	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G244
matched_screen_or_orbit_area	2	True	identified screen or spherical orbit	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G132_G244
matched_spatial_three_volume	3	True	supplied hypersurface region	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G210
matched_spacetime_four_volume	4	True	supplied spacetime region	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G132
matched_nonzero_scalar_curvature_or_tide	-2	True	supplied event or branch point	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G227
matched_nonzero_quadratic_curvature	-4	True	supplied event	False	False	True	False	DIRECT_OBSERVATIONAL_ATTACHMENT_MUST_BE_SUPPLIED	G227
G_obs_M_over_c_E_squared	1	False	unattached dimensional composite	False	False	True	False	MATTER_OR_INSTRUMENT_LAW_REQUIRED	G132_G202_G250
c_E_over_sqrt_G_obs_rho	1	False	unattached dimensional composite	False	False	True	False	MATTER_OR_INSTRUMENT_LAW_REQUIRED	G132_G202_G250
c_E_squared_over_sqrt_G_obs_epsilon	1	False	unattached dimensional composite	False	False	True	False	MATTER_OR_INSTRUMENT_LAW_REQUIRED	G132_G202_G250
G236_G237_relative_SNe_state	0	False	observed_relative_state	False	False	False	False	INSUFFICIENT_WEIGHT_OR_NATIVE_PLACEMENT	G250
G99_M_B_conditional_X_eff	1	False	historical transfer-conditional scale	False	False	True	False	HISTORICAL_CONDITIONAL_NOT_NATIVE_ATTACHMENT	G99_G197_G250
