premise	entry_status	used_as	outcome_status	forbidden_promotion
founded_phi_and_reciprocal_pair	DERIVED	background_metric_ontology	UNCHANGED	none
projector_neighborhood	DERIVED_CONDITIONAL_BOUNDED	local_offshell_antecedent	UNCHANGED	stability_or_matter
observer_reciprocity	DERIVED_NATURALITY_CONSTRAINT	future_A_gate	UNCHANGED	return_law_or_dynamics
bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	type_and_hierarchy	UNCHANGED	derived_equation_or_optimizer
total_mass_energy_density	OPEN	missing_R_channel	OPEN	imported_GR_or_LCDM_density
native_equation_domain	OPEN	missing_Sol_E	OPEN	conditional_action_promotion
S2_carrier	POSIT	excluded	UNCHANGED	projector_identification
L2_plus_L4	CONDITIONAL	excluded	UNCHANGED	response_or_stability_promotion
finite_cell_boundary	WORKING_PARTIAL	missing_complete_domain	UNCHANGED	fixed_or_selected_boundary
projector_positive_outcome	OBSERVED_DERIVED_CONDITIONAL	not_used_to_construct_A	UNCHANGED	outcome_tuned_bootstrap
