anchor_id	path	exact_anchor	use
A01	CURRENT_SCIENTIFIC_PREMISES.tsv	WORKING_ON_SHELL_ADMISSIBILITY	current_bootstrap_grade
A02	udt_global_local_self_consistency_premise_audit_2026-08-01/TERM_DEFINITION_LEDGER.tsv	bootstrap_operational	minimum_independent_X_O_relation
A03	udt_global_local_self_consistency_premise_audit_2026-08-01/STATUS_LEDGER.tsv	BOOTSTRAP_IS_DISTINCT_POSIT	no_existing_derived_operation
A04	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	LOCAL_TO_GLOBAL_MAP_PARTIAL_RETURN_OPEN	partial_R_and_open_A
A05	udt_bootstrap_closure_ownership_audit_2026-08-01/ASSEMBLY_LEDGER.tsv	NATIVE_MASS_ENERGY_DENSITY	mass_energy_density_open
A06	udt_bootstrap_to_local_response_map_audit_2026-07-25/AUDIT_REPORT.md	A density *window* is an on-shell admissibility condition	density_window_scope
A07	udt_native_stability_configuration_space_audit_2026-08-01/AUDIT_REPORT.md	NATIVE_OFFSHELL_PARENT_ARENA_DERIVED__REALIZATION_VARIATION_OPEN	offshell_not_onshell
A08	udt_native_stability_configuration_space_audit_2026-08-01/PARENT_RELATION_MATRIX.tsv	No native global-to-local closure operation is registered.	return_map_open
A09	udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	A(T_g X,rho_g O)=sigma_g A(X,O).	observer_naturality_gate
A10	udt_projector_deformation_neighborhood_audit_2026-08-01/STATUS_LEDGER.tsv	bootstrap_on_shell_intersection	intersection_open_not_run
A11	udt_projector_deformation_neighborhood_review_2026-08-01/EXTERNAL_REVIEW_RESULT.json	mandatory_repairs	external_semantic_pass
A12	udt_projector_deformation_neighborhood_audit_2026-08-01/AUDIT_REPORT.md	DERIVED_CONDITIONAL_ON_THE_REGISTERED_STATIONARY_COMPLETE_OFFSHELL_FAMILY	projector_maximum_scope
