object	status	ruling	remaining_open_scope
projector_functional_neighborhood	DERIVED_CONDITIONAL_BOUNDED	external_PASS_sustains_open_stationary_RxS3_neighborhoods	on_shell_selection_and_other_metric_families
forward_readout_graph	DERIVED_TYPE_PARTIAL	O_equals_R_of_X_recomputes_but_projection_contains_all_X	complete_physical_R
global_density_window	WORKING_ONE_WAY_SURVIVAL_FILTER_TYPE	lawful_only_after_native_same_solution_density_exists	native_density_window_and_on_shell_domain
separable_mutual_filter	DERIVED_LOGICAL_TYPE	P_of_X_and_O_in_I_depends_on_both_but_nonempty_local_fiber_shape_is_fixed	physical_P_I_and_relevance
family_tuning	WORKING_BOOTSTRAP_TARGET	allowed_nonempty_local_fiber_changes_with_independent_global_O	metric_native_A_and_witness
differentiable_bootstrap_response	OPEN_REQUIRED_FOR_RESPONSE	needs_nontrivial_D_O_A_and_complete_domain	map_derivative_pairing_boundary
native_on_shell_equation_domain	OPEN	no_complete_E_native_or_realized_variation_space	all_dynamics_and_persistence
same_solution_mass_energy_density	OPEN	no_unconditional_native_total_functional	proper_density_and_feedback
complete_bootstrap_intersection	OPEN_NOT_COMPUTABLE	missing_E_native_complete_R_and_A	not_an_empty_or_negative_result
S2_carrier	POSIT_NOT_USED	projector_screen_not_identified_with_carrier	carrier_emergence
L2_plus_L4	CONDITIONAL_NOT_USED	no_action_in_interface_logic	native_action_and_coefficient
stability_mass_matter	OPEN	no_basin_or_mass_claim	complete_matter_physics
