object	status	basis	maximum_use	forbidden_promotion
terminal_Z	DERIVED_CONDITIONAL	complete supplied pair metric plus registered Z=exp(phi_pair) readout	endpoint clock/frequency ratio on typed query	universal local material speed or selected history
clock_interval_ratio	DERIVED_CONDITIONAL	same phase increment gives d_tau_o/d_tau_s=Z	one flux factor on supplied radiative query	energy conversion or carrier law
forward_Jacobi_d_A	DERIVED_CONDITIONAL	supplied metric null branch and screen Jacobi system	observer-angle to source-area distance	physical endpoint source or luminosity law
reverse_screen_reciprocity	DERIVED_CONDITIONAL_GENERAL_REGULAR_STRATUM	self-adjoint Jacobi Wronskian plus endpoint frequency normalization	D_r=Z O_o D_f^T O_s and d_G=Z d_A	future signal source current or global caustic theorem
geometric_flux_factor	DERIVED_CONDITIONAL	clock plus reverse area	F_o=L_Omega eta epsilon/(Z^3 d_A^2)	eta or epsilon selected
radiative_survival_eta	OPEN	no native current or measure equation in active authority	input to conditional transfer	photon or wave-action conservation derived
energy_conversion_epsilon	OPEN	no physical null momentum wave action stress tensor or energy-frequency owner	input to conditional transfer	Planck relation or null-particle mechanics derived
transfer_character_family	DERIVED_NONSELECTION	positive multiplicative characters compose and reverse; Z^-p and Z^-q are the complete regular subclass	counterexample to kinematic uniqueness	any family member called physical
historical_dL_Z2_dA	COMPATIBLE_CONDITIONAL_CLOSURE	eta=1 and epsilon=1/Z imply d_L=Z^2 d_A	transparent null-momentum comparison branch	metric-only native law
historical_n1_error	CONDITIONS_CHANGED	arithmetic error only after transparent null-momentum closure is supplied	provenance warning inside old assembly	metric-only exclusion of all one-power transfer laws
intrinsic_supernova_luminosity	OPEN_OR_OBSERVED_SOURCE_CALIBRATION	no matter/source emission law in this audit	separate future input	derived from propagation geometry
singular_global_flux	OPEN	caustics multiple images absorption scattering topology and branch aggregation excluded	future atlas	regular single-branch theorem generalized
overall	EXTERNALLY_VERIFIED_WITH_CAVEATS__Z3_GEOMETRIC_CLOCK_FACTOR__TRANSFER_PRODUCT_OPEN	metric geometry fixes Z^3 factor but not eta epsilon	bounded regular-branch flux ownership result	full SNe validation action source matter or Xmax
