source	current_role	owned_flux_layer	missing_or_superseded_point
CURRENT_SCIENTIFIC_PREMISES.tsv:G06	current authority	c_E observed calibration	no radiative current or energy law
CURRENT_SCIENTIFIC_PREMISES.tsv:G13	current authority	conditional toric F=dS and identity dF=0 only	no U1 selection action source current charge or normalization
CURRENT_SCIENTIFIC_PREMISES.tsv:G16	current authority	none	complete native action source boundary and mass open
CURRENT_SCIENTIFIC_PREMISES.tsv:G21	current authority	response/current role may be typed	current substance coupling measure boundary and normalization open
CURRENT_SCIENTIFIC_PREMISES.tsv:G65	current authority	registered Z=exp(phi_pair) and frozen conditional dL readout	complete screen flux transport and source law open
CURRENT_SCIENTIFIC_PREMISES.tsv:G79	current authority	one supplied complete query returns Z and forward Jacobi d_A	physical history scale endpoint and luminosity law open
CURRENT_SCIENTIFIC_PREMISES.tsv:G80	current authority	one bounded reverse query verifies D_r=Z D_f^T and d_G=Z d_A	generic physical carrier and luminosity law open
CURRENT_SCIENTIFIC_PREMISES.tsv:G89	current authority	complete B Q S Y Z pair metric and terminal phi_pair	physical pair history and source open
CURRENT_SCIENTIFIC_PREMISES.tsv:G93	current authority	joined kernel exposes Z and d_A ports	physical history and flux ownership open
udt_global_functional_dof_constraint_rank_audit_2026-07-26/EXACT_DERIVATION.md	current supporting correction	F=dS implies dF=0 as a geometric identity	identity supplies no independent field action source current charge normalization or inhomogeneous equation
udt_sne_native_observer_query_replay_2026-08-11/EXACT_DERIVATION.md	current conditional observational anchor	historical d_A=r and d_L=Z^2 d_A retained as conditional readouts	pair metric does not derive immersion full screen source or flux transport
simple_metric_DA_native_derive.md	historical scoped geometry	D_A=r on one chart-origin spherical metric	Etherington line was banked rather than derived in that document
luminosity_distance_n2_optics_results.md	historical provenance only	factorization into energy arrival-rate and reverse area was identified	claims minimal Maxwell and photon conservation derived conflict with current G13 G16 G21 and cannot control
udt_canonical_geometry.md:11.0	historical superseded claim	asserted metric-selected minimal Maxwell and current conservation	current registry forbids promotion to a full native Maxwell system
