item	status	boundary
G335_preregistration	PREREGISTERED	commit a3324f62 before outcome execution
conditional_local_marked_development	IMPORTED_MATHEMATICAL_METHOD_CONDITIONAL	standard smooth theorem not UDT physics
geometric_boosted_response_at_local_time	DERIVED_CONDITIONAL_BOUNDED	exact tensor congruence throughout regular Gaussian tube
nonzero_q0_local_persistence	DERIVED_CONDITIONAL_BOUNDED	per datum germ and direction qualitative interval
silent_direction_condition	DERIVED	b nonzero and abs(b)>=abs(C), with mu=(b-C)/(2b)
silent_direction_higher_jet	OPEN	first jet alone does not decide later response
fixed_compact_all_direction_gap	DERIVED_CONDITIONAL_BOUNDED	sup abs(b)<abs(C) gives uniform local interval for that datum
full_G332_family_uniform_interval	NOT_DERIVED	exact silent controls and no uniform bounds or scale
raw_pair_component_persistence	TRANSPORT_QUALIFIED	general moving frame can cancel component derivative
terminal_Phi_persistence	TRANSPORT_AND_BOOST_QUALIFIED	zero boost remains first-order blind
boosted_observer_time_response	OPEN	requires spatial jet and physical germ carry
flat_Einstein_slicing	CONDITIONAL_NON_LOAD_BEARING_CONTROL	checks compatibility only
external_adversarial_review	ACCEPTED_NO_REPAIRS	fresh gpt-5.4 retained exact bounded landing
metric_kernel_angular_equation	UNCHANGED	no construction change
global_stability_occupancy_history	OPEN	local continuation is not selection
matter_mass_observation_scale_Xmax_canon	OPEN	no claim
