item	status	role_or_guard
UDT_metric	pinned-by-THEORY	the evolved metric is the complete upstream object
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	not derived or canonized
quiet_GR_principal_overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response premise
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded local finite-jet premise
tracefree_Ricci_constitution	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	implies connected Ric=Lambda g sector
G315_metric_evolution	DERIVED_CONDITIONAL	complete ADM presentation with lapse and shift gauge
standard_local_wellposedness	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	provides smooth local marked development per lawful datum
G332_weighted_contact_data	EXTERNALLY_ACCEPTED_BOUNDED	complete strict lawful initial-data family
G333_first_normal_rate	EXTERNALLY_ACCEPTED_BOUNDED	q0=(b-C)/2-b*mu
G334_finite_boost_response	EXTERNALLY_ACCEPTED_BOUNDED	exact congruence with transport qualification
positive_weights	free-and-explored	complete G331/G332 positive-weight family
C_and_Lambda	free-and-explored_conditional_data	finite values subject only to strict G332 lawfulness
square_root_branch	free-and-explored	both signs retained
initial_point_direction	free-and-explored	whole slice and every unit direction
finite_boost	free-and-explored	all finite local rapidities analytically
Gaussian_normal_tube	CHOSE_GAUGE_PRESENTATION_CONTROL	local proper-normal-time chart only
frame_transport	free-and-explored_GERM_DATA	inherited and general carry kept distinct
spatial_first_jet	free-and-explored_GERM_DATA	required for boosted-observer derivative
S3_topology	SUPPLIED_BOUNDED_CONFIGURATION_FAMILY	not selected physical topology
local_regular_time_interval	DERIVED_PER_DATUM_OR_OPEN	no common physical duration assumed
silent_direction_higher_jet	OMITTED_OPEN	first response alone is inconclusive
global_evolution_stability	OMITTED_OPEN	no long-time or nonlinear conclusion
physical_germ_population_history	OMITTED_OPEN	no actualization or universe selection
source_action_matter_mass_observation_scale_Xmax	OMITTED_OPEN	no import calibration or prediction
metric_kernel_angular_interface	UNCHANGED	no construction change
