object	status	maximum_claim
metric_natural_unit_section	NOT_DERIVED_IN_ROUND_G305_SCOPE	isotropy_has_no_nonzero_fixed_tangent_vector
raw_component_Hopf_number	FAILS_FULL_LOCAL_FRAME_DESCENT	basepoint_fixed_large_SO3_rotation_changes_zero_to_minus_one
geometric_Hopf_congruence_family	DERIVED_MATHEMATICAL_METRIC_NATURAL_FAMILY	two_oriented_S2_isometry_orbits_not_physical_population
individual_geometric_member	NOT_SELECTED	SO4_transitive_on_each_family
intrinsic_normalized_helicity	DERIVED_CONDITIONAL_FOR_SUPPLIED_MEMBER	plus_or_minus_one_frame_independent_and_scale_blind
emergent_orbit_target	DERIVED_CONDITIONAL_AFTER_MEMBER_SUPPLY	S3_circle_orbit_space_is_S2_not_fixed_cross_history_target
fixed_physical_S2_target	OPEN	metric_selects_no_member_or_target_identification
lawful_field_or_query_population	OPEN	G300_control_family_remains_operational
action_dynamics_history_mass_Xmax	OPEN_EXCLUDED	outside_bounded_gate
metric_and_kernel	UNCHANGED	classification_only
