object	status	active_role	forbidden_promotion
G305_positive_round_S3_slice	DERIVED_CONDITIONAL	bounded_metric_domain	selected_complete_UDT_history
G305_slice_radius	FREE_AND_EXPLORED	all_positive_values_and_time_slice_carry	observed_scale_mass_or_physical_Xmax
slice_orientation	SUPPLIED_AND_BOTH_SIGNS_RETAINED	charge_and_chirality_sign_bookkeeping	metric_selected_parity
complete_local_spatial_frame_gauge	DERIVED_CONDITIONAL_REPRESENTATION_GAUGE	frame_descent_test	physical_triad
G300_celestial_S2_control_fiber	DERIVED_CONDITIONAL	all_direction_control_arena	lawful_query_population_or_fixed_target
G290_G292_screen_connection_and_Euler_character	DERIVED_CONDITIONAL	gauge_descended_comparison_objects	physical_map_or_history_selector
orthogonal_complex_structure_J	FREE_AND_EXPLORED_TEST_OBJECT	full_geometric_Hopf_congruence_family	owned_physical_field
unit_Killing_Beltrami_field	FREE_AND_EXPLORED_TEST_OBJECT	intrinsic_family_classification	populated_matter_or_carrier
historical_component_Hopf_map	CONDITIONAL_COMPARISON_ONLY	large_frame_gauge_control	metric_owned_target_or_charge
observer_center_radial_map	SUPPLIED_CONTROL_ONLY	cut_locus_and_naturality_control	global_intrinsic_section
old_Hopf_action_box_boundary_stability	OMITTED	outside_scope	metric_derived_dynamics
observations_source_mass_fit_physical_Xmax	OMITTED	outside_scope	implicit_anchor_or_selection
nontrivial_quotients_nonspherical_topology_change_singular_strata	OMITTED	explicit_scope_boundary	universal_no_go

