candidate	type	result	ownership_boundary
fixed_K	symmetric_bilinear_on_abstract_channel_space	PRESERVED_BY_D	no spacetime solder supplied
internal_determinant_line	absolute_Lambda2_channel_density	DERIVED_INVARIANT	internal representation only
founded_q_wedge	oriented_channel_two_form	CONDITIONAL_IN_DECLARED_FOUNDING_CHART	orientation and channel-to-spacetime identification supplied
pair_volume_density	positive_density_on_supplied_pair_surface	DERIVED_AND_COMMON_ATLAS_DESCENDED	pair immersion and metric supplied
kappa_pair	log_coordinate_coefficient_of_pair_density	DERIVED_NOT_GENERAL_SCALAR	matched endpoint trivialization required for Delta_kappa
fixed_numeric_K_across_charts	putative_shared_pairing	FAILS_FOR_GENERAL_GL2_TRANSITIONS	requires supplied O(K) reduction
determinant_one_transition	internal_area_preserving_map	INSUFFICIENT_FOR_K_DESCENT	shear counterexample
O_K_local_system	conditional_reciprocal_bundle_reduction	CLOSES_UNDER_COMPOSITION	physical transitions not founded
ambient_area_bilinear	Sym2_Lambda2_TstarM	DERIVED_FROM_FULL_g	retains supplied metric scale but selects no values
tautological_plane_density	density_on_timelike_Grassmann_bundle	DERIVED_FROM_FULL_g	not a base-spacetime two-form
universal_alternating_two_form	Lambda2_TstarM	EXACT_COUNTEREXAMPLE	cannot reproduce all plane areas
physical_observer_network_density	valued_global_relation_structure	OPEN	query family transitions and numerical history unowned
