item	status	source	active_role	open_boundary
F1_cE	OBSERVED_FOUNDING	founding.md	clock_ruler_conversion_after_attachment	value_provenance_and_physical_realization
W5_projective_position	WORKING_OWNER_ADOPTED	founding.md	physical_normalized_complete_projective_position	dimensional_scale_operational_distance_history_population_Xmax
constant_positive_homothety	free-and-explored	G275	one_remaining_scale_ell	nonconstant_conformal_histories_omitted
complete_dimensionless_history	SUPPLIED_ONLY	G275_G276	required_before_one_scale_attachment	physical_history_not_selected
PantheonPlus_CEPH_DIST	OBSERVED_PROCESSED_CONDITIONAL	PantheonPlus_release	candidate_Cepheid_host_absolute_distance_modulus	distance_ladder_and_metric_operational_distance_attachment
PantheonPlus_IS_CALIBRATOR	OBSERVED_METADATA	PantheonPlus_release	identifies_SN_rows_with_Cepheid_host_distance	physical_relation_query_and_transfer
PantheonPlus_full_covariance	OBSERVED_PROCESSED_CONDITIONAL	PantheonPlus_release	includes_SN_and_Cepheid_host_uncertainties	release_processing_and_model_dependence
PantheonPlus_noncalibrator_state	OBSERVED_PROCESSED_CONDITIONAL	G236_G237	relative_shape_control	absolute_zero_point_and_transfer
DES_Dovekie_MU	OBSERVED_PROCESSED_CONDITIONAL	DES_release	relative_shape_control	H0_normalization_global_nuisance_and_bias_correction
cmb_temp	OPEN_NO_OWNER	G79_TYPE_LEDGER	candidate_future_thermal_readout	source_temperature_transfer_detector_and_full_query
transparent_radiative_transfer	IMPORTED_CONDITIONAL	G236_G258	possible_luminosity_to_metric_bridge	not_native_UDT_light_theory
same_segment_clock_record	SUPPLIED_ONLY	G252_G276	direct_positive_weight_control	observational_instance_segment_population_and_history
direct_geometric_record	SUPPLIED_ONLY	G250	candidate_nonzero_weight_control	observational_attachment_identity_and_value
SNe_fit	OMITTED	G277_preregistration	not_used	future_separate_preregistered_gate_only
Xmax	OPEN	founding.md_G275	not_used	value_population_and_global_completion
