candidate	conformal_weight_or_rule	what_it_owns	status
founded_fixed_K_reciprocal_map	P_A_T_K_P_A=A_squared_K	no internal positive common multiplier inside exact founded transformation	DERIVED_REPRESENTATION_NORMALIZATION_NOT_PHYSICAL_SCALE_OWNER
founded_calibrated_base_determinant	det_g_parallel=-c_E_squared	base determinant in same identified chart after declared Lorentzian readout	DERIVED_CONDITIONAL_NORMALIZED_READOUT
terminal_phi_pair_and_c_eff_ratio	weight_zero	positive conformal geometry only	DERIVED_INSUFFICIENT_FOR_SCALE
terminal_kappa_pair	kappa_to_kappa_plus_log_Omega	common magnitude of one supplied calibrated pair metric	DERIVED_QUERY_CONDITIONAL_SCALE_READOUT
terminal_beta_pair	weight_zero	pair shift state	DERIVED_NOT_SCALE_OWNER
complete_terminal_triplet	full_pair_metric_reconstruction	all three components of supplied calibrated h	DERIVED_QUERY_CONDITIONAL_COMPLETE
rank_complete_full_pair_network	weight_two_pullbacks	complete metric on covered regular region	DERIVED_CONDITIONAL_FAITHFUL
metric_four_volume	weight_four	pointwise scale once full volume datum supplied	DERIVED_FROM_FULL_METRIC_NOT_INDEPENDENT_SELECTOR
complete_angular_sigma	volume_density_exp_sigma	genuine complete-coframe common-area configuration direction	CONDITIONAL_HISTORY_UNSELECTED
spherical_orbit_area_R	area_weight_two_radius_weight_one	common scale datum on identified central-spherical orbit only if independently calibrated	CONDITIONAL_SCALE_DATUM_IF_INDEPENDENTLY_CALIBRATED
c_E_alone	unit_conversion	clock-ruler ratio calibration	OBSERVED_NOT_LENGTH_OWNER
c_E_plus_G_obs	no_length_monomial	mass_per_length conversion only	OBSERVED_INSUFFICIENT_FOR_LENGTH
c_E_G_obs_M	G_M_over_c_E_squared	one dimensional length after mass supplied	CONDITIONAL_OBSERVATIONAL_CALIBRATOR
c_E_G_obs_rho	c_E_over_sqrt_G_rho	one dimensional length after mass density supplied	CONDITIONAL_OBSERVATIONAL_CALIBRATOR
c_E_G_obs_epsilon	c_E_squared_over_sqrt_G_epsilon	one dimensional length after energy density supplied	CONDITIONAL_OBSERVATIONAL_CALIBRATOR
finite_point_anchors	Omega_a_equal_one_at_anchors	finite parameter calibration only after history family reduced	INSUFFICIENT_FOR_ARBITRARY_LOCAL_FIELD
strong_local_CSN	declared_conformal_gauge	would quotient scale	CHALLENGED_INACTIVE_NOT_DERIVED
