item	status	role	forbidden_promotion
c_E	OBSERVED	clock-ruler unit conversion and founded base calibration	standalone length or pointwise conformal selector
G_obs	OBSERVED	dimensional gravitational anchor	standalone length or dynamics
fixed_K	POSIT_FOUNDING	exact dual-pair normalization	general complete-metric volume law
D_phi	DERIVED_ON_SUPPLIED_DEPTH	determinant-one reciprocal action	observer-query or history owner
complete_pair_h	DERIVED_FROM_SUPPLIED_g_F	retains common scale and shift	physical query family
terminal_triplet	DERIVED_ON_REGULAR_CALIBRATED_h	exact pair decomposition	query-independent universal observable
areal_radius	CONDITIONAL_CENTRAL_SPHERICAL	potential orbit-area scale datum when independently calibrated	universal nonspherical scale owner
metric_volume	DERIVED_FROM_FULL_METRIC	nonzero conformal-weight density	independent selector from conformal class
external_mass_density_energy	OBSERVED_CANDIDATE	may form a dimensional length with c_E and G_obs	native UDT closure or fitted value
strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	inactive	common factor called gauge
physical_history_query	OPEN	outside bounded derivation	selected by algebraic evaluator
