moved_path	source	line	column	source_frozen	role
EXTERNAL_AUDIT_2026-06-30.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	28	120	NO	NEW_PATH_SUFFIX
EXTERNAL_AUDIT_2026-06-30.md	archive/pre_2026-07-01/EXTERNAL_AUDIT_2026-06-30.md	1	52	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	62	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	154	91	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	155	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	83	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	1990	112	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2498	28	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/DEPENDENCY_MAP.tsv	2499	28	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	88	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	88	285	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	119	6036	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	756	322	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	973	505	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/ADJUDICATION_SUMMARY.json	9	6	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/CANDIDATE_ADJUDICATION.tsv	5	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/CANDIDATE_ADJUDICATION.tsv	5	99	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/CANDIDATE_ADJUDICATION.tsv	5	447	NO	NEW_PATH_SUFFIX
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/CANDIDATE_ADJUDICATION.tsv	5	575	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/ELIGIBLE_BATCH.txt	1	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	40	474	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	43	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	43	30	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	43	184	NO	NEW_PATH_SUFFIX
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	43	264	NO	QUALIFIED_OTHER_PATH
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	44	1	NO	AUDIT_RECORD
EXTERNAL_AUDIT_2026-06-30.md	reorganization_r1a/INBOUND_REFERENCES.tsv	44	195	NO	NEW_PATH_SUFFIX
