target	source	line	column	source_frozen	source_r0_classification	disposition	new_target_or_reason	line_excerpt
PROVENANCE_AUDIT_2026-06-30.md	HANDOFF_ARCHIVE.md	673	89	NO	ACTIVE	REWRITE_LIVE_POINTER	archive/pre_2026-07-01/PROVENANCE_AUDIT_2026-06-30.md	(Note: M2's X-kinetic→−2e5 is exactly the value later caught as the Cassini KLUGE — see PROVENANCE_AUDIT_2026-06-30.md.)
STEP2_timelive_matter_results.md	FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	167	64	NO	CONTROL	REWRITE_LIVE_POINTER	archive/pre_2026-07-01/STEP2_timelive_matter_results.md	breathing; ACTION-ROBUST across the {L4,X^2} F2 ambiguity) — STEP2_timelive_matter_results.md.
branch_operator_contamination_ledger.md	branch_operator.py	32	3	NO	ACTIVE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	branch_operator_contamination_ledger.md.  This module = scalar-tensor / Branch-G / legacy
branch_operator_contamination_ledger.md	p2_matter_fullmetric_results.md	6	83	YES	FROZEN_EVIDENCE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	> banked. Low risk, but the frame is superseded (2026-07-01 native operator). See branch_operator_contamination_ledger.md.
branch_operator_contamination_ledger.md	p3_aphi_FIX_results.md	4	58	YES	FROZEN_EVIDENCE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	> frame-B arc as p3_aphi_coupling. Mine for history. See branch_operator_contamination_ledger.md.
branch_operator_contamination_ledger.md	p3_aphi_coupling_results.md	6	77	YES	FROZEN_EVIDENCE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	> a(φ) weight is non-native). Re-run on the native operator before use. See branch_operator_contamination_ledger.md.
branch_operator_contamination_ledger.md	p4_time_live_results.md	4	68	YES	FROZEN_EVIDENCE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	> transport to the native operator (EH-empty, φ-blind matter). See branch_operator_contamination_ledger.md.
coupled_timelive_VERIFIER.md	HANDOFF_ARCHIVE.md	409	80	NO	ACTIVE	REWRITE_LIVE_POINTER	archive/pre_2026-07-01/coupled_timelive_VERIFIER.md	Docs: coupled_timelive_solve_CONTRACT.md, coupled_timelive_solve_results.md, coupled_timelive_VERIFIER.md.
lepton_ladder_test_results.md	archive/tier_d_round3_contract.md	15	1	NO	NON_ROOT	REWRITE_LIVE_POINTER	archive/pre_2026-07-01/lepton_ladder_test_results.md	lepton_ladder_test_results.md.
p1_VERIFIER.md	STATE.md	184	97	NO	ACTIVE	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	re-take the observation with the EL seeing the full metric. Docs: p1_offdiag_wiring_results.md, p1_VERIFIER.md.
timelive_nonround_VERIFIER.md	archive/pre_native_coupled/timelive_nonround_native_solve_results.md	302	60	NO	NON_ROOT	INTENTIONAL_COLOCATED_ARCHIVE_REFERENCE	UNCHANGED_COLOCATED_BASENAME	Scripts: timelive_nonround_verif_claim{1,2,3}.py; verdict: timelive_nonround_VERIFIER.md.
weld_discriminator_results.md	NEGATIVES_REGISTRY.md	375	28	NO	CONTROL	REWRITE_LIVE_POINTER	archive/pre_2026-07-01/weld_discriminator_results.md	~1% of comb spacing) — weld_discriminator_results.md.
weld_status_results.md	NEGATIVES_REGISTRY.md	315	19	NO	CONTROL	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	oscillation) — weld_status_results.md.
weld_status_results.md	NEGATIVES_REGISTRY.md	370	7	NO	CONTROL	RETAINED_TARGET_NO_REWRITE	RETAINED_AT_ROOT	— weld_status_results.md. Premises: Bianchi route blocked by the
