target	source	line	column	source_frozen	corrected_scanner	literal_git_grep	agreement
A_pre_reconciliation_floored_glm.pt	reorganization_r0/ROOT_FILE_INVENTORY.tsv	6	1	NO	MATCH	MATCH	YES
B_floored_glm.pt	reorganization_r0/ROOT_FILE_INVENTORY.tsv	7	1	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	D1_FIX_DESIGN.md	1	52	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	30	67	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	74	11	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	174	73	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	177	249	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	archive/pre_native_coupled/PROVENANCE_AUDIT_2026-06-30.md	33	37	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	galerkin_basis.py	7	6	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	galerkin_basis.py	41	40	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	p1_residual_general_einstein.py	198	73	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	1	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	50	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	152	67	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	153	1	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	1992	83	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	1992	100	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2492	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2493	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2494	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2495	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2496	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2497	28	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2504	92	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	2504	109	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	4343	51	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	4343	68	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	11789	67	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	11789	84	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	13169	68	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/DEPENDENCY_MAP.tsv	13169	85	NO	MATCH	MATCH	YES
D1_FIX_DESIGN.md	reorganization_r0/ROOT_FILE_INVENTORY.tsv	13	1	NO	MATCH	MATCH	YES
