candidate_id	source_scope	source_role	g165_class	survives_metric_restrictor_filter	conformal_rank	rationale
G155_E01	current premise registry	INACTIVE_OR_OPEN	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	Authority metadata cannot supply a differential coefficient.
G155_E02	current research program	INACTIVE_OR_OPEN	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	Workflow is not physics.
G155_E03	G155 whiteboard	INACTIVE_OR_OPEN	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	A ranked question is not an equation.
G155_E04	founded reciprocal character	REPRESENTATION_CONSTRAINT	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	The reciprocal character acts after depth is supplied and has no common-scale variable.
G155_E05	founded reciprocal derivation	REPRESENTATION_CONSTRAINT	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	This constrains a one-parameter representation, not g or kappa.
G155_E06	strong local CSN provenance	INACTIVE_OR_OPEN	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	Activating it would be a new premise, not a current equation.
G155_E07	Xmax semantics	CALIBRATION_OR_WORKING_FRAME	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	The semantic asymptote supplies no kappa profile or equation.
G155_E08	conceptual dependency audit	INACTIVE_OR_OPEN	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	A type audit identifies the missing joint but does not fill it.
G155_E09	complete-pair orchestra	NETWORK_ADMISSIBILITY	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	It restricts compatible supplied pair data, not the ambient common-scale history.
G155_E10	terminal reciprocal cE evaluator	DEFINITION_OR_EVALUATOR	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	The formulas reconstruct common scale; they do not constrain its value.
G155_E11	complete time-live compatibility	DEFINITION_OR_EVALUATOR	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	Arbitrary time frequencies survive, so the identity has no history principal part.
G155_E12	finite-jet chart openness	DEFINITION_OR_EVALUATOR	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	This proves absence of a chart-generated history equation in its bounded source universe.
G155_E13	uncompressed pair evaluator	DEFINITION_OR_EVALUATOR	EXCLUDED_BY_PREREGISTERED_ROLE	False	0	The external adjudication explicitly leaves physical history and pair ownership open.
